inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.26247533875e-06	6.8038258588e-07	1.62866071949e-06	6.8038258588e-07	-4.33652457781e-07	4.51683569932e-07	1.62866071949e-06	4.51683569932e-07	2.96129952889e-06	3.26247533875e-06	6.8038258588e-07	1.62866071949e-06	6.8038258588e-07	-4.33652457781e-07	4.51683569932e-07	1.62866071949e-06	4.51683569932e-07	2.96129952889e-06	4.75366238004e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-1.26535369266e-21	-9.31236896308e-20	1.88064682143e-21	0.999925530477	-2.04972447734e-20	1.26589006759e-21	-7.00092066252e-22	0.999934679123	59367968.0778	-329710.339593	1001064.90951	-329603.385333	-3.96642639047	549722.25985	1000749.33158	549727.289281	18.6332862714	59376268.021226406	-329649.4656020432	1000889.2415779377	-329649.46556009876	-3.9656940743269318	549625.7940047996	1000889.2414186734	549625.7938469239	18.630016482562407	59411934.349	0.0002499687552074404	0.0	0.0	0.0	-7.447229599265134e-05	0.0	0.0	0.0	-6.532301050134713e-05	0.000213309687571
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-8.83945882089e-22	1.11708550989e-19	1.56802424867e-21	0.999851033507	-5.5675006715e-20	2.65201859203e-21	3.27765147845e-21	0.99986933373	118783192.437	-659629.985921	2002870.24406	-659202.11851	-216.524916603	1099321.72764	2001607.73182	1099341.84752	-202.871939664	118816415.0866913	-659386.4953269563	2002167.5652858966	-659386.4917416811	-216.44499030841945	1098936.0461180871	2002167.564496066	1098936.0451683437	-202.80076490553233	118887945.92	0.0004998750416509929	0.0	0.0	0.0	-0.00014897758961004973	0.0	0.0	0.0	-0.0001306748075808057	0.000426598390707
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	2.28244980398e-21	4.5882081359e-19	-1.39896921098e-21	0.999769274799	4.10654784454e-20	9.5004795279e-21	-5.736756042e-21	0.999802757957	173281960.869	-1016665.12213	3016122.97598	-1015668.59412	-2106.24792202	1683114.02437	3013268.21663	1683170.41812	728.722651127	173356143.73084846	-1016103.6130864944	3014558.113572396	-1016103.4068530946	-2105.084631148369	1682240.770233672	3014558.211611045	1682240.7949914369	728.3445661843766	173468847.71	0.0007497188905459742	0.0	0.0	0.0	-0.00023075182215358516	0.0	0.0	0.0	-0.00019726149776976126	0.000642774589165
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.92309152661e-21	-4.56903240909e-19	-7.05957293783e-21	0.999641687523	-9.47618594417e-20	-3.18867786382e-21	-1.24937230473e-20	0.999720977259	194221889.89	-1436996.70868	3437889.99816	-1435047.03262	1879.6953236	2466110.08319	3433497.02755	2466305.71747	2261.7211784	194345733.84047714	-1435961.8135336514	3435686.591990355	-1435962.0782605342	1878.3416061173793	2464529.508426051	3435686.3679795684	2464529.535380644	2260.271600199077	194497504.989	0.0009995003330834232	0.0	0.0	0.0	-0.00035837668625427404	0.0	0.0	0.0	-0.0002790616750872757	0.000880005262532
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-1.88200132968e-20	-2.16091422452e-19	-3.89767504635e-21	0.999500238841	4.11196329262e-19	1.73857855122e-21	-6.93777059264e-21	0.999632397574	204273851.676	-1697128.58428	3584019.56483	-1694162.47858	1427.73133108	2792437.96305	3578229.15234	2792807.17429	1129.80501337	204451147.59591773	-1695633.1408586828	3581334.9455163726	-1695632.8972981353	1426.4732699959743	2790346.2800242496	3581334.8138039396	2790346.261690634	1128.958729943065	204622117.044	0.0012492194004318981	0.0	0.0	0.0	-0.0004998860812305761	0.0	0.0	0.0	-0.0003676700083345747	0.00112459201848
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-1.79651221337e-20	-5.31809615254e-19	-8.5102409371e-21	0.999356564804	6.31818284552e-19	1.022741619e-20	2.26068461411e-21	0.99954108308	211718453.072	-1969462.40793	3640345.32757	-1965247.66469	833.85797916	2968344.11968	3633225.00143	2968891.85934	984.111127179	211952036.26176733	-1967415.5192419935	3637233.312016884	-1967415.8687909667	832.991339381515	2965806.57660751	3637233.4393940154	2965806.2502223398	983.2698418452759	212134319.035	0.0014988761237359487	0.0	0.0	0.0	-0.0006436422892642959	0.0	0.0	0.0	-0.00045902225459729096	0.00137095552786
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	1.65787674271e-20	1.05424127711e-18	-1.23022436602e-20	0.99921180947	-6.11944443155e-19	8.41821709395e-21	-3.96200901849e-20	0.999448202755	217780163.333	-2203573.08306	3644117.62668	-2197990.41614	-4314.21434102	3093421.00199	3635744.53552	3094152.48386	-3682.43794823	218072282.68156525	-2200938.0383640537	3640621.06449382	-2200938.689842659	-4309.055380010778	3090452.837948778	3640621.340225311	3090452.479465445	-3678.9046173659067	218266373.711	0.001748470534116803	0.0	0.0	0.0	-0.0007885013154719758	0.0	0.0	0.0	-0.0005519495411265236	0.00161823741083
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-1.03769807845e-21	-1.23086853292e-18	-7.88716714069e-21	0.999066820207	-7.58350810385e-19	1.60049108771e-20	-2.11785120183e-20	0.999354061533	223013871.927	-2360498.52186	3607346.05498	-2353589.25955	6675.68151881	3231968.60082	3597820.18529	3232897.83999	6453.89925186	223366459.3415149	-2357309.6249294435	3603508.484754971	-2357310.310373809	6666.663059316139	3228530.3649863144	3603508.3790604584	3228530.382055468	6447.0334587736725	223554339.741	0.001998002662673058	0.0	0.0	0.0	-0.0009336154763313794	0.0	0.0	0.0	-0.000646147175131495	0.0018659850721
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	2.64515816282e-20	-3.90741716601e-19	-1.71743374681e-20	0.998921877708	-1.93260343157e-18	-5.02719017279e-21	8.45254508937e-21	0.999258846009	227711383.851	-2455763.54069	3564609.50074	-2447610.27379	-2040.09920274	3375578.41238	3553971.32815	3376716.97838	-1388.32174711	228126226.19853386	-2452067.8369800686	3560445.7305985685	-2452069.3059852957	-2037.0290365504407	3371635.4467899096	3560445.9179746457	3371635.322407177	-1386.7000680351625	228325487.287	0.00224747254047937	0.0	0.0	0.0	-0.0010787038838939497	0.0	0.0	0.0	-0.0007414287814022999	0.00211401330873
