inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.224013874e-05	-2.67665830061e-07	-7.14748032779e-07	-2.67665830061e-07	1.67368977991e-05	-7.36543402061e-08	-7.14748032779e-07	-7.36543402061e-08	1.74672864069e-05	1.224013874e-05	-2.67665830061e-07	-7.14748032779e-07	-2.67665830061e-07	1.67368977991e-05	-7.36543402061e-08	-7.14748032779e-07	-7.36543402061e-08	1.74672864069e-05	5.07961566155e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	2.36643448554e-21	2.5444135742e-19	3.77659648419e-23	0.999931554226	-9.3373982852e-20	-2.16783359035e-21	1.50314226937e-22	0.999926361921	56057139.0342	-2367231.02501	114562.764601	-2366477.37902	18.8013076748	342785.672762	114525.696662	342783.8929	18.0171230743	56065104.69771409	-2366813.652779449	114541.97098209227	-2366813.6530939136	18.797992770745992	342723.455734755	114541.97064920384	342723.45584233	18.013852891424044	56218244.8961	0.0002499687552074404	0.0	0.0	0.0	-6.844811651910554e-05	0.0	0.0	0.0	-7.364079041685356e-05	0.000214029803782
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-7.31762743956e-21	-3.4662651371e-19	-1.21735136774e-21	0.999863082815	1.23174379341e-19	3.33395145889e-21	2.33445878499e-21	0.999852695712	112158739.04	-4736228.40757	229266.370529	-4733213.32852	-206.06920072	685521.393578	229118.03878	685514.271017	-257.859747821	112190623.76162702	-4734558.897658998	229183.1737466829	-4734558.896334625	-205.99656178805898	685272.6297753385	229183.17293672072	685272.6287710798	-257.76617499887914	112497122.649	0.0004998750416509929	0.0	0.0	0.0	-0.00013692655901384438	0.0	0.0	0.0	-0.00014731513834242887	0.000428039284352
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-1.91590539504e-21	-6.57208438358e-19	-1.01360644311e-21	0.999792307402	-3.96428221421e-19	-6.43383665383e-21	-1.60550587018e-22	0.999774409758	164582882.931	-6917060.723	391471.346159	-6910441.33369	-896.363324797	1008468.19295	391089.609837	1008450.04432	-3397.0761534	164654217.06317332	-6913436.419183313	391259.22433177766	-6913436.483165418	-895.8936609976936	1007921.7465296347	391259.1173667194	1007921.6509039332	-3395.235420973622	165101821.731	0.0007497188905459742	0.0	0.0	0.0	-0.000207714169095141	0.0	0.0	0.0	-0.0002256156913069866	0.000644338778171
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	1.24453459062e-20	-6.0497799266e-19	-1.46069756419e-21	0.999702361226	-4.00602123093e-19	-3.49933588262e-21	3.98385692642e-21	0.999655620705	185618514.637	-7991185.36755	982372.820421	-7980825.89315	3590.85648246	1559240.12718	981053.384881	1559167.23266	3622.10902656	185737742.5855994	-7985952.362028955	981683.61609996	-7985952.200195555	3588.5050200756705	1558146.209462762	981683.5428303543	1558146.2163324507	3619.5678597641668	186275793.089	0.0009995003330834232	0.0	0.0	0.0	-0.0002976830772112563	0.0	0.0	0.0	-0.0003444386071672548	0.000880787873901
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	1.06830376111e-20	5.62140725654e-19	-1.9831655186e-21	0.999601801219	-8.27855074945e-19	6.84533315918e-21	-5.32001210963e-21	0.999523054311	194043948.796	-8507108.99757	1802803.12012	-8493104.91024	2312.12550763	1962240.87	1799693.58818	1962086.05093	828.778313431	194213877.1116089	-8500542.684273569	1801269.692979018	-8500542.498583473	2310.3408660475166	1960571.828398274	1801269.6172288267	1960571.5914669035	828.0733716958272	194824186.018	0.0012492194004318981	0.0	0.0	0.0	-0.0003982780831870976	0.0	0.0	0.0	-0.0004770594637724101	0.00112551155594
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	1.38629266809e-20	8.22349606357e-19	2.88686033781e-21	0.999496380518	-2.11822343311e-20	4.22544536407e-21	6.71029592418e-21	0.999390417983	199902717.154	-8910023.84535	2428176.01336	-8892198.21083	-1946.07067324	2227007.79356	2423061.25322	2226771.57484	-2195.91502468	200125435.65097034	-8902105.390468802	2425760.864983449	-8902105.314887783	-1944.3411747460411	2224792.734096605	2425760.8691535266	2224792.613778599	-2193.730891166729	200801550.358	0.0014988761237359487	0.0	0.0	0.0	-0.0005037463408854678	0.0	0.0	0.0	-0.0006097678876571798	0.001371788522
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	1.87935435172e-21	3.61643777398e-19	1.59066831794e-21	0.999388150255	1.2128004268e-18	-7.12161148378e-21	1.70306148367e-20	0.999258443911	204613957.639	-9284258.34403	2859784.00832	-9262368.22844	-3994.33097481	2407412.22009	2852671.22728	2407099.59803	-3515.27986281	204891165.5744186	-9274917.14658325	2856535.8998559956	-9274916.74665117	-3990.3121471426944	2404677.9100911776	2856535.983675248	2404677.7360151783	-3511.2872499964033	205625450.342	0.001748470534116803	0.0	0.0	0.0	-0.0006120370014413871	0.0	0.0	0.0	-0.0007418311777211794	0.00161867195013
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	2.63597645802e-20	9.02741907149e-19	1.38139162296e-22	0.999278416133	-2.72694295755e-18	1.36526160102e-21	-1.53386168937e-20	0.999126846587	208684974.371	-9610354.30787	3155080.84785	-9584250.90995	2889.8941244	2541350.18805	3146034.13204	2540964.7826	2453.75061808	209018171.74907252	-9599553.84714703	3151057.033206584	-9599553.62775999	2886.6463577740983	2538109.091357441	3151057.2551818653	2538109.155278284	2450.621241007128	209792870.031	0.001998002662673058	0.0	0.0	0.0	-0.0007218443339457558	0.0	0.0	0.0	-0.0008735348334834158	0.00186585132696
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	8.95423013089e-22	-7.42155751364e-20	1.11967167715e-20	0.999167782069	-1.4915956552e-18	-1.41915241793e-20	-3.94978742494e-22	0.998995375899	212338212.007	-9891573.90675	3360222.50836	-9861154.1594	-4067.48267687	2649089.19225	3349311.01831	2648632.11465	-3700.29556797	212728783.322279	-9879292.80478697	3355471.4641729724	-9879292.599550748	-4062.4326039535586	2645343.6248727078	3355471.684340553	2645343.646973448	-3695.063691894904	213548022.426	0.00224747254047937	0.0	0.0	0.0	-0.0008325644165897693	0.0	0.0	0.0	-0.0010051290740258614	0.00211322941283
