inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.1874557505e-05	-1.15583012461e-07	-2.62763459822e-08	-1.15583012461e-07	1.20342539646e-05	-1.96488268811e-07	-2.62763459822e-08	-1.96488268811e-07	9.09137129158e-06	1.1874557505e-05	-1.15583012461e-07	-2.62763459822e-08	-1.15583012461e-07	1.20342539646e-05	-1.96488268811e-07	-2.62763459822e-08	-1.96488268811e-07	9.09137129158e-06	2.89379785044e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-3.0771118787e-22	1.48111858556e-21	1.78187628641e-21	0.999928136995	6.03302176438e-20	-5.34979061169e-22	-6.2534854309e-22	0.999926298675	54083765.6721	1358412.41642	-355305.930323	1357975.30277	14.7975152172	299005.654903	-355190.946182	299005.10531	15.401638866	54091639.198827684	1358172.9973449344	-355242.654846171	1358172.9971189238	14.794907167270745	298952.4057906889	-355242.6549595498	298952.4059052479	15.398896029587705	54148724.9094	0.0002499687552074404	0.0	0.0	0.0	-7.186558726874171e-05	0.0	0.0	0.0	-7.370404107605944e-05	0.000215171664266
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	8.12394759104e-22	1.11717979556e-20	-3.9535097377e-21	0.999856247368	-2.45380576086e-20	-1.22577827023e-21	1.76572041507e-21	0.99985256994	108211076.914	2717779.44873	-710821.790278	2716030.74421	-105.356928156	598034.569355	-710361.813112	598032.369704	-105.404012232	108242592.98958078	2716821.7793088774	-710568.7031207907	2716821.778110183	-105.31980332291411	597821.6399384557	-710568.7033604867	597821.6398327536	-105.36648327301323	108356873.339	0.0004998750416509929	0.0	0.0	0.0	-0.00014376296540008905	0.0	0.0	0.0	-0.00014744092887975077	0.000430323231805
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	7.2212350488e-21	2.30237451698e-20	3.5682503674e-22	0.999782443964	-7.71022028297e-20	-1.5741453852e-20	-1.85567630669e-21	0.999775871575	159756739.079	4079732.3689	-1013868.68323	4075788.03666	-658.253462184	781008.701976	-1012881.78475	781003.659182	-1749.62230528	159827324.5314298	4077588.766300924	-1013329.3074986086	4077588.8454661528	-657.9075978711485	780593.2072015591	-1013329.3071484081	780593.2985695067	-1748.691510369201	159999834.335	0.0007497188905459742	0.0	0.0	0.0	-0.00021757970474735875	0.0	0.0	0.0	-0.00022415354552896943	0.000647068141626
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	7.87868853941e-21	3.99689846275e-19	1.25938248261e-21	0.999688242753	2.84430396325e-19	-5.22364556827e-22	4.25791220312e-22	0.999663905388	182114860.287	5048113.38121	-1074043.10127	5041498.18604	2585.27765023	524855.745701	-1072609.42192	524843.133484	2401.14152427	182232901.11640844	5044765.829513202	-1073304.7416703166	5044765.91842825	2583.563276971877	524494.929381963	-1073304.6518732023	524495.0946446613	2399.4908401470375	182451506.985	0.0009995003330834232	0.0	0.0	0.0	-0.0003118058533933318	0.0	0.0	0.0	-0.0003361511044525722	0.000882431157974
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	8.88337047919e-21	1.25650802998e-20	2.12957648702e-21	0.999582106557	-4.9752825214e-19	-1.63161375826e-21	-8.40250066231e-21	0.999537129396	190649093.056	5527671.46387	-1184529.00307	5518463.25273	-3168.00037387	650727.399966	-1182502.60794	650698.116045	-2817.8179477	190817121.00586563	5523327.086488683	-1183544.7859376252	5523326.932131259	-3165.510538998626	650186.7149731527	-1183544.8027164764	650186.7111621504	-2815.4766418367817	191074087.567	0.0012492194004318981	0.0	0.0	0.0	-0.0004179807847983259	0.0	0.0	0.0	-0.0004629777616657983	0.001126765312
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-2.18727233474e-21	-3.72590272035e-19	2.07787769873e-21	0.999473007392	-1.17631969384e-18	-9.53470412575e-21	9.22471819119e-21	0.999407921079	196364451.591	5782114.55436	-1319126.00501	5770411.46291	-3805.32096541	840071.503037	-1316370.78158	840017.026354	-3691.23253473	196584382.23771057	5776874.73856276	-1317844.7740450273	5776874.3960658815	-3801.872541702606	839255.5645910939	-1317845.133352727	839255.793686736	-3687.647341651819	196861199.102	0.0014988761237359487	0.0	0.0	0.0	-0.0005271315174094516	0.0	0.0	0.0	-0.0005922542689409698	0.00137289428693
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-1.17329366036e-20	-3.37021505695e-19	-4.19690763294e-21	0.999362138261	7.2942192622e-19	-5.10618592129e-21	8.93148266404e-21	0.99927822317	200877907.528	5958971.01489	-1476273.8112	5944766.38392	-5100.375639	1012836.87868	-1472631.4723	1012752.07331	-4731.26327597	201151307.99573594	5952857.667819026	-1474635.4587589789	5952857.377747771	-5095.143130502201	1011712.843450253	-1474635.7650481877	1011713.084379609	-4726.012572016241	201444106.761	0.001748470534116803	0.0	0.0	0.0	-0.0006380652593489162	0.0	0.0	0.0	-0.0007220374363034006	0.00161974031196
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-2.32344694308e-21	1.55978966567e-19	-2.09483490129e-21	0.999250008385	1.05898970741e-18	-3.89602068512e-22	-8.61591326035e-21	0.999148633238	204736609.56	6109863.10133	-1634088.02431	6093094.34873	2604.43106039	1170945.33568	-1629437.94126	1170826.35148	2083.93065581	205064860.95532805	6102863.540970206	-1632050.3956788827	6102863.3232486965	2601.4473810329055	1169485.2235526484	-1632050.396741062	1169485.0334206414	2081.3320952022664	205364226.702	0.001998002662673058	0.0	0.0	0.0	-0.0007502729994104927	0.0	0.0	0.0	-0.0008517293805105979	0.00186692172246
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	4.72299450252e-21	2.88853413778e-18	2.51115490359e-20	0.999136981896	-1.8743379149e-18	-3.6437305983e-22	1.50505512454e-20	0.999019195346	208180820.677	6248461.33149	-1772114.07189	6229053.17137	-20.7269960231	1315109.63461	-1766401.69615	1314954.71091	90.4400243579	208565201.4014028	6240554.620330701	-1769663.0176377655	6240554.3652002895	-20.7007683868795	1313290.674356145	-1769663.143392568	1313290.7865396389	90.31493455144178	208879945.417	0.00224747254047937	0.0	0.0	0.0	-0.0008633907185209723	0.0	0.0	0.0	-0.0009812859576197996	0.00211430319189
