inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.00283996981e-07	2.82896740845e-07	7.20418820955e-07	2.82896740845e-07	3.34635340805e-06	4.44274591189e-07	7.20418820955e-07	4.44274591189e-07	-1.12915898973e-07	3.00283996981e-07	2.82896740845e-07	7.20418820955e-07	2.82896740845e-07	3.34635340805e-06	4.44274591189e-07	7.20418820955e-07	4.44274591189e-07	-1.12915898973e-07	3.6189984585e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	6.28941608876e-22	-4.39875908945e-21	2.74779059732e-22	0.999930902755	3.11797977084e-21	1.17114557571e-21	9.1245130148e-22	0.999924980368	55666860.1475	2347910.81099	-390693.180744	2347161.78654	29.6452384493	-300700.809185	-390566.229487	-300699.02848	29.4676702624	55674883.54924534	2347500.0885877665	-390622.5228011952	2347500.0887529296	29.640052577888834	-300646.426611605	-390622.5227602156	-300646.42689617985	29.46234095269455	55829656.6387	0.0002499687552074404	0.0	0.0	0.0	-6.90996323244218e-05	0.0	0.0	0.0	-7.502244611307588e-05	0.00021471376118
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-3.16494811999e-21	-1.3543760334e-19	-4.13693703853e-22	0.999861779446	-3.10024708645e-20	-1.9509183994e-21	4.44208913638e-22	0.999849930657	111377339.825	4697500.75324	-781668.867133	4694504.20574	-353.112964456	-601419.050553	-781160.981891	-601411.922062	-417.052526426	111409455.73458922	4695857.880958691	-781386.2316568181	4695857.876718986	-352.9894691056106	-601201.5897241436	-781386.2314391438	-601201.5883061782	-416.9017287617261	111719388.95	0.0004998750416509929	0.0	0.0	0.0	-0.000138230107341131	0.0	0.0	0.0	-0.0001500806045303121	0.000429408108772
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	4.58950823117e-21	8.02141079929e-20	-3.54550290056e-22	0.999790548818	2.32378298521e-21	-2.33303706831e-22	1.89089610621e-21	0.999770357018	163463353.377	6876505.21751	-1087208.20858	6869912.82924	-1469.46887947	-1069933.55632	-1086143.97761	-1069911.88916	-2418.52882479	163535152.84234563	6872930.0238779625	-1086621.0075742828	6872930.362270616	-1468.7048815358487	-1069355.685351621	-1086621.0543080468	-1069355.6266324555	-2417.2225777003755	163991054.677	0.0007497188905459742	0.0	0.0	0.0	-0.00020947311996215995	0.0	0.0	0.0	-0.00022966935398732936	0.000646298612514
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.17596131784e-20	5.22180509141e-20	-1.60855609869e-21	0.999697881584	3.75485197383e-20	-2.49986905811e-21	-1.3860703633e-21	0.999655810031	185481169.46	7871380.08388	-647536.073523	7861140.49442	3529.49244205	-1962591.69364	-646666.438821	-1962509.22101	4039.3988503	185601105.71094587	7866224.0427220985	-647084.6805373632	7866223.682766313	3527.1804957199047	-1961223.5843401453	-647084.5877280319	-1961223.705864186	4036.583012879091	186131121.515	0.0009995003330834232	0.0	0.0	0.0	-0.0003021640629625414	0.0	0.0	0.0	-0.0003442492159623409	0.000882139345329
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	3.54053981688e-21	4.13775077746e-19	1.53793555389e-21	0.999596014985	5.07380748718e-19	3.36422109944e-21	-1.18876193782e-21	0.999526640773	195078902.268	8449250.43227	-284599.758546	8435292.987	-1304.92030034	-2168466.97899	-284109.936796	-2168316.61719	-483.343767321	195250166.5396671	8442698.48392977	-284359.32988792553	8442698.525440708	-1303.9084034309817	-2166635.0673661074	-284359.3634681467	-2166635.201947906	-482.9354405748377	195834469.374	0.0012492194004318981	0.0	0.0	0.0	-0.00040406663893019463	0.0	0.0	0.0	-0.0004734712968469109	0.00112603877701
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-6.96444716739e-21	1.39719594254e-19	8.33798057453e-22	0.999492127483	1.21445106571e-20	-6.84977925498e-21	-6.76695779614e-21	0.999393775274	201653840.756	8939913.02233	-75229.4828897	8921988.87973	-3013.5908964	-2283288.85473	-75071.2555137	-2283064.0724	-2679.83132313	201878691.09377193	8931937.999139965	-75154.97682542812	8931937.176304385	-3010.9025640611912	-2281027.5223423876	-75154.96231093201	-2281027.4207148836	-2677.1772614891447	202512021.764	0.0014988761237359487	0.0	0.0	0.0	-0.0005080015279293668	0.0	0.0	0.0	-0.0006064085545072454	0.00137189774709
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-7.07404859855e-21	-1.28188386322e-19	-3.73017097231e-21	0.999387605036	8.63538302402e-20	-4.75877975754e-21	1.39277569614e-20	0.999258958323	206843413.207	9351741.70291	53808.6601626	9329686.96135	-6184.16722697	-2399894.71306	53674.5883652	-2399585.53455	-6570.45085566	207123647.94652614	9342327.798866093	53747.5742522595	9342326.969339319	-6177.941952714613	-2397170.2491386607	53747.3075495167	-2397169.998633266	-6562.991796641384	207802622.002	0.001748470534116803	0.0	0.0	0.0	-0.0006125825543861549	0.0	0.0	0.0	-0.0007413163841048059	0.00161865396644
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-2.00136349207e-21	-2.58536024236e-19	5.50323261532e-21	0.999282714589	-2.40453028865e-19	3.92237414245e-21	1.80293320288e-20	0.999123129711	211264131.741	9672309.62702	122303.768768	9646079.1415	-2828.60549176	-2503536.30667	121952.442668	-2503136.34007	-2932.56549572	211601324.10785946	9661475.480577258	122147.26391946487	9661474.960136283	-2825.43711447389	-2500332.680367847	122147.08731708756	-2500332.5272558704	-2928.8128663174048	212309137.907	0.001998002662673058	0.0	0.0	0.0	-0.0007175427832602672	0.0	0.0	0.0	-0.0008772549646415864	0.00186588087468
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	2.79917919288e-20	-4.71079772439e-19	1.67338637919e-21	0.99917757541	1.03519089401e-18	2.03775297668e-20	1.31968394927e-20	0.998986717513	215203520.853	9925065.3064	154863.586141	9894638.90802	1635.55450052	-2588511.77651	154359.048954	-2588017.29245	1752.99195941	215599118.01053953	9912828.537858859	154643.10760342173	9912827.695133604	1633.5379997473144	-2584826.5248300508	154642.79896312937	-2584826.4853761406	1750.4962332471991	216326508.561	0.00224747254047937	0.0	0.0	0.0	-0.0008227629666418346	0.0	0.0	0.0	-0.0010137962047557418	0.00211338136622
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	3.04311475552e-20	6.80613720586e-19	-1.22538535944e-20	0.999072216784	5.52594389301e-19	-1.02576470564e-20	1.59712032672e-20	0.998849957402	218818364.285	10133414.383	161791.492247	10098765.4439	-182.354375587	-2659912.97021	161202.498783	-2659320.75836	-281.835232655	219273742.9655269	10119782.203559218	161537.89433863654	10119781.790027166	-182.10905969683293	-2655743.7252373146	161537.97419628766	-2655743.2536416124	-281.3934737929499	220021687.92	0.002496880198587146	0.0	0.0	0.0	-0.0009282138732393228	0.0	0.0	0.0	-0.0011507044044409983	0.00236105649015
110	27.5	nan	nan	1	1	5.0	5.0	5.0	1.00275	8.25526251328e-22	1.00248923907e-18	-2.14396942968e-20	0.998966671495	-1.29397827776e-19	2.10976163394e-20	-7.10382710061e-21	0.998713045129	222208687.146	10317252.5202	154006.326828	10278325.474	42.4621275998	-2718404.55626	153386.373189	-2717713.92398	-167.942853966	222725176.4799613	10302216.373557506	153742.83776470483	10302215.83376265	42.40024418887336	-2713753.644281649	153742.8958197965	-2713753.1849156707	-167.65552093111734	223488486.032	0.0027462256680252286	0.0	0.0	0.0	-0.001033862756969678	0.0	0.0	0.0	-0.0012877837086135498	0.00260882161569
120	30.0	nan	nan	1	1	5.0	5.0	5.0	1.003	-3.68260808709e-21	2.80597034571e-19	-9.05266462378e-21	0.998860924793	-1.356430414e-19	-3.30376970629e-20	-4.50983005867e-20	0.998576092956	225429153.167	10485460.9115	137249.271328	10442190.1827	27.9905049664	-2767660.06957	136643.918379	-2766870.53867	-163.48791856	226008041.1943123	10469005.50633719	136994.8024457654	10469005.076828646	27.94657794174955	-2762528.6516943765	136994.8114522488	-2762528.33796646	-163.18480155622794	226784956.42	0.002995508979798371	0.0	0.0	0.0	-0.00113972444623171	0.0	0.0	0.0	-0.001424921762992792	0.0028566375319
130	32.5	nan	nan	1	1	5.0	5.0	5.0	1.00325	1.85429077916e-20	-6.1801258843e-19	3.63297725033e-21	0.998755025763	-2.35617434402e-19	3.49141304331e-21	2.98310280208e-20	0.998439126858	228517364.44	10642532.8667	116823.662439	10594849.5495	5.85613896012	-2809874.58589	116263.585701	-2808985.59285	-103.088663949	229159906.8497393	10624640.398323083	116590.36749247235	10624640.021559065	5.846293486071696	-2804263.312218393	116590.4942696522	-2804263.062365876	-102.88279757020761	229949052.051	0.0032447301648890294	0.0	0.0	0.0	-0.0012457498612465732	0.0	0.0	0.0	-0.0015620925735663703	0.00310447807085
