inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.43757194512e-06	-9.10236689474e-07	6.98592759497e-07	-9.10236689474e-07	6.13909659589e-06	-7.39695891519e-07	6.98592759497e-07	-7.39695891519e-07	5.15991728995e-06	3.43757194512e-06	-9.10236689474e-07	6.98592759497e-07	-9.10236689474e-07	6.13909659589e-06	-7.39695891519e-07	6.98592759497e-07	-7.39695891519e-07	5.15991728995e-06	3.34707164229e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-3.19621296221e-21	-5.21664155376e-20	-1.25092973073e-21	0.999924218669	-5.34762249375e-20	-1.63887743801e-21	-1.41474865052e-21	0.999928991874	52313391.3471	296746.739526	-1459585.15864	296650.089579	11.0240812069	902682.449216	-1459116.73605	902686.758518	11.824139367	52321071.24719362	296693.63904245873	-1459330.943592887	296693.6394806995	11.022108534702712	902525.2295704059	-1459330.942593855	902525.2298574318	11.82207996393711	52407919.0423	0.0002499687552074404	0.0	0.0	0.0	-7.57842025500849e-05	0.0	0.0	0.0	-7.101064719635727e-05	0.000215595069561
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	4.15658257808e-22	3.02387828264e-22	6.22742924161e-21	0.999848408564	-3.17609954863e-20	3.46397391143e-21	-4.4411197841e-22	0.99985795864	104668456.046	593704.573477	-2920207.84229	593317.914336	0.679124528269	1805500.20612	-2918333.88467	1805517.45138	-1.82200882499	104699196.90951781	593492.1699772017	-2919190.9924104693	593492.1703221517	0.6788815649618618	1804871.510230448	-2919190.9920262853	1804871.5102120317	-1.821374380609935	104872858.088	0.0004998750416509929	0.0	0.0	0.0	-0.00015160292714346384	0.0	0.0	0.0	-0.0001420514488292966	0.000431170085992
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-1.64567582867e-21	-3.463224279e-21	6.07801974346e-21	0.999768808634	1.12702195238e-20	2.01552896006e-21	-3.88698632187e-21	0.999785530527	154426286.538	859176.326845	-4230387.83003	858333.967169	-3541.66486238	2717186.69297	-4226310.82992	2717232.11126	-2911.83875502	154495131.307432	858716.5960201614	-4228194.939130966	858716.620960593	-3539.769776985291	2715778.194692917	-4228194.961185193	2715778.165986188	-2910.329355654767	154750488.047	0.0007497188905459742	0.0	0.0	0.0	-0.00023121809484294903	0.0	0.0	0.0	-0.00021449247486624942	0.000648454688361
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.44156901253e-20	7.01210407978e-20	5.64013100669e-21	0.999654470567	4.08738258674e-19	-7.67613268692e-21	-2.37652350408e-20	0.99969029195	174773399.383	912229.422139	-3877700.30215	911003.191022	5829.06303494	3598863.54134	-3872626.55501	3598992.3746	6445.54187895	174887973.8234451	911600.434027767	-3875165.4593982934	911600.408225668	5825.04385811932	3596510.973464373	-3875165.2938693436	3596510.8459832915	6441.328444739105	175128543.143	0.0009995003330834232	0.0	0.0	0.0	-0.00034558914204890035	0.0	0.0	0.0	-0.00030975601944246755	0.000885023779394
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-2.35705115547e-21	-4.65657293331e-19	1.30363664538e-21	0.999527876978	2.61573483145e-19	-7.55515752233e-21	8.41953541305e-22	0.999582682817	182591242.441	752432.16072	-2800976.45023	751137.842155	-2849.8391731	4585153.08128	-2796312.21552	4585404.33065	-3376.40745348	182753754.9712185	751806.5365125702	-2798800.9791053208	751806.3808518157	-2847.469619448455	4581591.870285262	-2798801.0302481866	4581591.707931478	-3373.7850548091383	182997924.506	0.0012492194004318981	0.0	0.0	0.0	-0.00047223450716486705	0.0	0.0	0.0	-0.00041740428404872054	0.00112980277679
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	3.00142485265e-20	-6.65261662007e-19	-7.76846672279e-21	0.999398503975	3.15693997769e-19	-1.53413052307e-20	4.64538169661e-21	0.999473264606	188011034.079	717240.469481	-2034288.40863	715735.212198	-1827.80346562	5528379.25689	-2030171.14537	5528793.18681	-1156.23882976	188223333.9234645	716543.6490520755	-2032464.0653668076	716543.4119665495	-1826.027700239909	5523421.424258749	-2032463.5907071033	5523421.799940745	-1155.2019185183267	188504753.689	0.0014988761237359487	0.0	0.0	0.0	-0.0006016769963067352	0.0	0.0	0.0	-0.00052687416782123	0.00137611232722
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-6.0690241543e-21	-3.33231570923e-19	-2.43612962203e-20	0.999267910731	-6.44518246991e-19	7.56332593088e-21	2.18672101563e-20	0.999362843227	192263665.551	747064.570031	-1621489.18999	745213.31927	-3348.54135797	6361320.50898	-1617624.30627	6361925.28581	-3583.43438134	192527192.8423826	746234.959580633	-1619842.4102892186	746234.7501626579	-3344.8228241035904	6354859.970390521	-1619841.5122651334	6354860.408270241	-3579.795055814611	192869770.001	0.001748470534116803	0.0	0.0	0.0	-0.0007323573772103431	0.0	0.0	0.0	-0.0006373598436400744	0.00162314634436
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-5.1401003264e-21	1.41180291818e-19	3.98204746883e-21	0.999136682407	-1.22255495418e-18	2.67276531577e-20	-6.18744669122e-21	0.999251849394	195846164.483	807917.92449	-1403321.13366	805609.032462	217.500090585	7062415.94079	-1399471.73122	7063230.15921	-36.189794562	196162146.84500927	806909.0033220977	-1401730.2318428438	806908.8191880017	217.22847828532568	7054409.49801349	-1401729.6686392159	7054409.656278479	-36.14876730989776	196562189.304	0.001998002662673058	0.0	0.0	0.0	-0.0008636904662541775	0.0	0.0	0.0	-0.0007484306103304768	0.00187055951948
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	1.11537033797e-20	-6.08912464319e-20	-6.45697186159e-21	0.999005039616	-2.15740325641e-18	4.93309837811e-21	-3.46660344105e-20	0.999140503221	199001349.638	876039.159357	-1295635.6855	873202.872636	-861.190622999	7634203.73322	-1291615.10129	7635239.27545	-1000.40689886	199370903.9438445	874824.4049987459	-1294014.542844764	874824.4489823184	-859.9964582731571	7624651.562459971	-1294013.6876465436	7624651.917468225	-999.155156325826	199827058.514	0.00224747254047937	0.0	0.0	0.0	-0.0009954556856476185	0.0	0.0	0.0	-0.000859866358139997	0.00211820274848
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	7.67127300082e-21	2.75673241975e-19	-2.76402401685e-20	0.998873099184	5.45249749244e-19	-3.14742223076e-22	-9.98843854113e-21	0.999028997786	201874081.785	928271.215391	-1256061.89706	924912.715862	-204.742049955	8097341.92841	-1251712.58431	8098605.79193	-266.721085876	202298262.56354618	926856.3041028951	-1254343.0933826594	926856.1560125758	-204.42997323342126	8086261.47041998	-1254342.701132496	8086261.545374765	-266.3561029207006	202800745.725	0.002496880198587146	0.0	0.0	0.0	-0.0011275362461469955	0.0	0.0	0.0	-0.0009714739420403159	0.00236597315907
110	27.5	nan	nan	1	1	5.0	5.0	5.0	1.00275	-6.29236291969e-21	-7.19944917942e-20	-9.86991906898e-21	0.998740970335	3.53185442045e-19	-3.78286237733e-20	1.11285906933e-20	0.998917385506	204549674.761	962418.555695	-1255506.50389	958570.534791	-103.534261347	8479287.60439	-1250706.67793	8480786.23604	-156.114412778	205029501.43126595	960819.3599619695	-1253641.7018251128	960819.121636524	-103.3622244011289	8466693.330298668	-1253640.5492326638	8466694.19980362	-155.8825362577229	205571614.502	0.0027462256680252286	0.0	0.0	0.0	-0.0012598229087304148	0.0	0.0	0.0	-0.0010832009443762362	0.00261381495126
120	30.0	nan	nan	1	1	5.0	5.0	5.0	1.003	1.12480019695e-20	2.38696407437e-18	-1.66594175368e-21	0.998608766584	-7.78403219397e-19	5.33378466683e-20	-4.35045303415e-21	0.998805664494	207084446.032	986610.55205	-1277110.766	982290.766026	-148.888529381	8803558.24409	-1271769.20361	8805294.82746	-90.6442709834	207620919.24554983	984835.797690772	-1275064.8060858322	984835.489659222	-148.62070276389952	8789454.747550022	-1275063.850429824	8789455.512396064	-90.49905684080709	208197133.482	0.002995508979798371	0.0	0.0	0.0	-0.001392202079737824	0.0	0.0	0.0	-0.0011950492930409735	0.0028616877771
