inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.56785749597e-06	7.3132432545e-07	1.74115820137e-06	7.3132432545e-07	-2.58347840008e-07	5.11854169787e-07	1.74115820137e-06	5.11854169787e-07	3.30737747326e-06	3.56785749597e-06	7.3132432545e-07	1.74115820137e-06	7.3132432545e-07	-2.58347840008e-07	5.11854169787e-07	1.74115820137e-06	5.11854169787e-07	3.30737747326e-06	5.01960482403e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-2.59533733302e-21	-4.33685560659e-20	-5.59587684392e-22	0.999925096962	3.69977370038e-20	4.88333829439e-22	-6.25981853247e-22	0.999935097797	56511407.6421	-387227.875759	1054604.14791	-387102.095385	0.977864577817	585792.735157	1054272.13374	585798.594083	0.638812842442	56519309.0629633	-387156.22027735465	1054419.5419963296	-387156.2199715272	0.9776836265950313	585690.1935509297	1054419.5419922573	585690.193621582	0.6387010197939694	56561880.9459	0.0002499687552074404	0.0	0.0	0.0	-7.49058433728126e-05	0.0	0.0	0.0	-6.490430923914968e-05	0.00021332738648
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-1.27597650118e-20	2.57117060519e-19	-8.1642726459e-22	0.999850167147	-5.08445255849e-20	1.38534658027e-21	6.18666474704e-21	0.999870171949	113067710.433	-774714.82273	2109985.73549	-774211.638436	-67.807815714	1171499.38302	2108657.47217	1171522.82173	-70.372736126	113099337.69595616	-774428.2014045775	2109247.3043963723	-774428.20066211	-67.7827288492032	1171089.393721951	2109247.3051479687	1171089.3933069531	-70.34810780002366	113184522.575	0.0004998750416509929	0.0	0.0	0.0	-0.00014984407906391953	0.0	0.0	0.0	-0.00012983647939095153	0.000426633290257
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-2.75489918071e-21	1.13129563271e-19	-2.80652042082e-21	0.999769834241	2.30571232e-20	4.94421361759e-21	4.56660566796e-21	0.999804638429	166516417.814	-1168190.8009	3189052.68691	-1167046.53288	-4861.77681993	1726421.98952	3186040.22037	1726482.11171	-1227.31191943	166587297.77134407	-1167543.4075284945	3187396.319385666	-1167543.3019647244	-4859.082498005418	1725525.3002528471	3187396.4013272943	1725525.3218822747	-1226.6744637950032	166720850.165	0.0007497188905459742	0.0	0.0	0.0	-0.0002301922512032632	0.0	0.0	0.0	-0.00019538065655767188	0.000641984916192
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-2.1517035684e-21	-1.44406968292e-19	-4.34869527534e-21	0.999640902064	2.00223073925e-19	1.64965663537e-21	1.84894253951e-20	0.999723844814	186920376.615	-1633218.02227	3676146.91649	-1631000.72765	5454.90555058	2577599.68524	3671460.17229	2577813.54433	4401.96602997	187039175.28696886	-1632037.1313517336	3673793.6937806793	-1632037.3226105599	5450.961405746399	2575949.678792315	3673793.596823768	2575949.6678836374	4399.1481865424375	187216981.673	0.0009995003330834232	0.0	0.0	0.0	-0.00035916242710356	0.0	0.0	0.0	-0.0002761933238650672	0.000879424391847
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	2.04727201607e-21	-8.87768490495e-20	7.87889533457e-23	0.999493527695	3.3069481478e-19	-1.14357719685e-22	9.12238043978e-21	0.999637454105	195022613.651	-1961536.21383	3832590.79123	-1958095.11184	-999.106467666	2914966.45318	3826418.08932	2915386.22815	-1883.58515927	195192203.3871555	-1959797.8713099773	3829745.693817002	-1959797.8519846818	-998.2210446783794	2912802.547882858	3829745.504649125	2912802.569583337	-1882.186892782468	195400959.65	0.0012492194004318981	0.0	0.0	0.0	-0.0005066006054201065	0.0	0.0	0.0	-0.00036261163065177493	0.00112562436902
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-4.13218075001e-21	1.04768214844e-19	-2.94409089644e-21	0.999343038396	-8.53008861891e-19	1.29944904353e-22	-4.74481656106e-20	0.999549557614	200705130.614	-2241539.0467	3876779.92207	-2236711.46377	-5382.86538334	3057908.68778	3869229.65849	3058540.67681	-4667.22974783	200927579.15769744	-2239190.400305563	3873518.214616581	-2239190.4896238227	-5377.225308770287	3055335.9331332827	3873518.061582282	3055335.9900375777	-4663.302999765543	201151607.237	0.0014988761237359487	0.0	0.0	0.0	-0.0006571774978356899	0.0	0.0	0.0	-0.00045054386564630255	0.00137368142612
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	2.67501938294e-20	1.13166166013e-19	7.242431552e-21	0.999191015616	7.40352601027e-19	4.99049695781e-21	-2.10196933407e-21	0.999461083148	205244371.028	-2507759.02483	3860899.52789	-2501353.09346	-2409.30969928	3145038.3735	3852077.33858	3145888.59371	-1803.70755779	205521303.8452617	-2504727.9532356933	3857275.2324930136	-2504728.127599395	-2406.3976211580302	3142086.0697640227	3857274.882485052	3142086.2293437137	-1802.0143852658289	205749717.068	0.001748470534116803	0.0	0.0	0.0	-0.0008093117884552036	0.0	0.0	0.0	-0.000539062119880373	0.00162262413914
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	1.64716475378e-20	-9.08425465137e-19	-5.8735251864e-21	0.999038211578	1.08029922416e-18	7.60535704575e-21	8.23255640546e-20	0.999372202355	209122458.659	-2732338.78874	3794334.09912	-2724262.39544	2824.16544022	3242579.02885	3784382.78454	3243662.82163	2611.91989782	209455279.38188565	-2728598.026117543	3790406.146710656	-2728598.0893946076	2820.2989604986947	3239222.2616871363	3790405.671905151	3239222.020696745	2609.2159985882395	209683789.981	0.001998002662673058	0.0	0.0	0.0	-0.0009622512372615041	0.0	0.0	0.0	-0.0006279947924583087	0.00187205728529
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	1.78824040725e-20	1.46112356221e-19	-2.70229566363e-21	0.998885041316	-1.41406835909e-18	2.26603026882e-20	2.88317938408e-20	0.999282933849	212578627.691	-2901679.43783	3696689.21261	-2891937.55238	460.265880027	3363984.1998	3685744.89143	3365323.64769	690.065701947	212968621.22593382	-2897242.8306343695	3692507.3274681894	-2897243.0572706414	459.5621431191174	3360178.6876962394	3692506.703257868	3360178.1381908073	689.2850641005723	213202596.677	0.00224747254047937	0.0	0.0	0.0	-0.0011155807128343765	0.0	0.0	0.0	-0.0007173233658998496	0.00212177864934
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	2.6618672112e-20	-7.97532391448e-19	2.35853749563e-21	0.998731750366	-5.39078154694e-19	-6.83447641364e-21	3.94680957474e-20	0.999193351284	215759089.861	-3019603.56923	3589431.46978	-3008253.70201	213.49700845	3496855.21464	3577591.77537	3498471.31578	331.625874006	216207477.21156934	-3014505.0323793306	3585026.9782602903	-3014505.4103767425	213.13652326042484	3492564.320868046	3585026.673703184	3492564.2208532766	331.21894511988734	216443915.371	0.002496880198587146	0.0	0.0	0.0	-0.0012690545431893086	0.0	0.0	0.0	-0.0008069742321385148	0.00237164906494
