inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.99114226168e-07	2.45017578287e-07	7.15115344545e-07	2.45017578287e-07	3.25457066923e-06	3.54124564484e-07	7.15115344545e-07	3.54124564484e-07	-9.23036774024e-08	1.99114226168e-07	2.45017578287e-07	7.15115344545e-07	2.45017578287e-07	3.25457066923e-06	3.54124564484e-07	7.15115344545e-07	3.54124564484e-07	-9.23036774024e-08	3.5215957337e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	6.40547986846e-22	-9.09019665161e-20	-1.01174528673e-22	0.999930517075	4.71168135362e-21	2.13375762652e-21	-9.82603326008e-22	0.999925308194	57089727.6861	2313520.27463	-520801.93498	2312781.32932	5.07794998323	-253355.704957	-520632.877111	-253354.385241	4.15488464491	57097959.47272034	2313114.8098428524	-520707.94734949304	2313114.8100208915	5.07706002780939	-253309.98258005598	-520707.9473368641	-253309.9826554635	4.15413482480263	57247129.6868	0.0002499687552074404	0.0	0.0	0.0	-6.948533905023254e-05	0.0	0.0	0.0	-7.469459557179713e-05	0.000214726878735
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-1.08717381884e-21	-5.432079573e-20	7.57749139887e-22	0.999861006904	-5.61273242605e-20	-2.93845572852e-21	2.16629232022e-21	0.999850584453	114222360.033	4628699.97133	-1041853.99888	4625743.75073	-452.35922911	-507145.461763	-1041177.7357	-507140.174704	-579.052997366	114255309.8790544	4627078.1353516355	-1041478.0904781048	4627078.143964648	-452.20072834791546	-506962.48003977904	-1041478.0853521754	-506962.47941450105	-578.8440708877348	114554128.067	0.0004998750416509929	0.0	0.0	0.0	-0.000139002756435496	0.0	0.0	0.0	-0.00014942671061485518	0.00042943535672
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	7.13257162689e-21	3.22556494926e-19	1.19000270873e-21	0.999788962235	1.37037993858e-19	2.7726060157e-22	2.60192892853e-21	0.999770640969	166886292.902	6765861.39503	-1482887.63006	6759364.32833	-1006.03254843	-1004613.19739	-1481436.5184	-1004594.77465	-1376.86902186	166959813.38745105	6762341.806092489	-1482089.0746024577	6762342.11481035	-1005.5092121064345	-1004072.1993162197	-1482089.1539766176	-1004072.1862537706	-1376.1275588863805	167400056.688	0.0007497188905459742	0.0	0.0	0.0	-0.0002110600366028154	0.0	0.0	0.0	-0.0002293853378052834	0.000646714268608
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-9.57213404846e-21	2.42608351349e-19	-1.45542428779e-21	0.999694381602	-3.92464113432e-19	4.52370052045e-22	-5.2800101722e-21	0.999658268168	189402809.365	7869513.47283	-1250075.25592	7859248.93756	1717.73598322	-1831306.45007	-1248399.69979	-1831240.35032	2545.68079599	189525478.93342552	7864339.316090949	-1249208.2105025717	7864339.097935929	1716.6065823689603	-1830036.2658487537	-1249208.2445677107	-1830036.3210452367	2543.9151255970014	190050971.711	0.0009995003330834232	0.0	0.0	0.0	-0.00030566510881954956	0.0	0.0	0.0	-0.00034179023562783584	0.000882398529922
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	2.20902718485e-20	-2.81940375886e-19	-5.74642371541e-21	0.999590771873	-1.63486044217e-20	4.39602551602e-21	-5.10189492186e-21	0.999532445781	199950954.325	8548238.60137	-862821.572258	8534072.77061	-218.957957263	-2085450.9332	-861341.576706	-2085329.11532	-221.184606658	200126383.31340882	8541560.285614548	-862097.1861850842	8541560.225512177	-218.7868962475136	-2083700.0826645806	-862097.283434113	-2083699.950887937	-220.99891003918793	200710705.041	0.0012492194004318981	0.0	0.0	0.0	-0.0004093118836808642	0.0	0.0	0.0	-0.00046766355655602576	0.00112564233772
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	1.5484821067e-20	-9.27324887773e-19	-3.14411350831e-21	0.999484708801	2.17588412566e-19	-5.44132331634e-21	-7.72793487278e-21	0.999403347612	207413207.464	9079598.27013	-618364.518754	9061327.41193	5281.52578402	-2239269.94956	-617070.106704	-2239087.62384	4902.27944544	207644032.07374275	9071411.750706755	-617756.6857954954	9071411.520792611	5276.76375467367	-2237068.817319952	-617756.8275175171	-2237068.7752326536	4897.460658254827	208271364.553	0.0014988761237359487	0.0	0.0	0.0	-0.0005154240071352637	0.0	0.0	0.0	-0.0005968304558693185	0.00137080820402
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-1.09328461561e-20	1.47891290846e-18	-1.69737461696e-21	0.999377394457	6.30059957064e-19	-1.08314745258e-20	-1.09156821584e-21	0.999272704664	213384075.26	9472838.20168	-463873.078539	9450401.56316	-1489.9226755	-2354892.95996	-462726.101025	-2354646.29237	-1452.14245504	213672415.08620426	9463172.215730518	-463351.20380898024	9463171.621754868	-1488.4023738395504	-2352243.6164551447	-463351.36963226204	-2352243.6356906095	-1450.5087399426266	214341846.211	0.001748470534116803	0.0	0.0	0.0	-0.0006227994423173228	0.0	0.0	0.0	-0.0007275599435592474	0.00161689847068
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-1.3507859403e-21	1.1108845375e-18	1.64112633531e-21	0.999269294769	-2.35867449742e-19	1.00052406473e-20	1.27054942088e-21	0.999141334634	218512077.042	9750895.65694	-370057.275413	9724321.69444	-3959.0053495	-2450335.63723	-369001.701165	-2450021.82127	-3848.65367572	218859789.0360832	9739796.016868876	-369588.69853206247	9739795.72833896	-3954.4987343166217	-2447232.9536552425	-369588.8829769577	-2447232.9122980186	-3843.7804027025595	219554734.651	0.001998002662673058	0.0	0.0	0.0	-0.0007309723261867378	0.0	0.0	0.0	-0.0008590342302742514	0.00186347132159
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	1.51870360465e-21	-2.47167770885e-19	3.84721702898e-21	0.999160605089	-1.34650300588e-18	-1.21667379049e-20	3.5280080306e-20	0.999009668374	223115871.479	9954812.64688	-314116.888408	9924127.05379	920.986141691	-2526818.83013	-313101.217559	-2526437.05347	557.522486508	223524674.6965254	9942310.786333794	-313675.00926235697	9942310.498310672	919.8295111529068	-2523264.2662493014	-313674.89608890814	-2523264.1998120104	556.7382002467183	224229557.675	0.00224747254047937	0.0	0.0	0.0	-0.0008397474001736803	0.0	0.0	0.0	-0.000990822328363788	0.00211030825834
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	2.63332948006e-21	2.36092608305e-18	6.65053212493e-22	0.999051437459	-1.18723454881e-18	-6.77325212362e-22	3.54274218526e-20	0.998877861247	227364907.944	10118882.8812	-280115.524042	10084074.1	252.408340409	-2587366.4737	-279103.278331	-2586916.89291	0.217996624059	227836446.6555158	10104987.957887892	-279682.27772005677	10104987.755281907	252.06174142426377	-2583364.6711862567	-279682.1187573179	-2583364.622144166	0.21765945518584232	228551913.731	0.002496880198587146	0.0	0.0	0.0	-0.0009490127111459199	0.0	0.0	0.0	-0.0011227688220848216	0.00235731618415
110	27.5	nan	nan	1	1	5.0	5.0	5.0	1.00275	8.38761141129e-21	4.56709577248e-19	-2.13164443855e-21	0.998941938303	4.06717262567e-19	4.48563244081e-21	-2.81914526491e-20	0.998745989973	231363288.659	10259983.3181	-259834.304547	10221019.3826	180.247811526	-2633901.0259	-258796.49141	-2633384.26774	-84.532659201	231899148.4344922	10244692.689665023	-259396.17697670913	10244692.25301694	179.9791851328741	-2629459.7930193916	-259395.88913895225	-2629459.6901733396	-84.39012186879305	232622006.877	0.0027462256680252286	0.0	0.0	0.0	-0.0010586218394220822	0.0	0.0	0.0	-0.001254796955519747	0.00260442065493
120	30.0	nan	nan	1	1	5.0	5.0	5.0	1.003	-5.45360177856e-21	5.96491520241e-19	-1.04745880968e-20	0.998832179572	1.02916757159e-18	-2.75257370459e-20	-1.91540908667e-20	0.998614094521	235168995.968	10388645.9436	-250017.494039	10345476.9382	144.907908846	-2669784.40442	-248923.91024	-2669201.39594	-16.5540988208	235770708.14125818	10371947.763161086	-249561.12756685523	10371947.26174862	144.6749912528793	-2664911.145071827	-249560.81625046243	-2664911.0575475683	-16.523881992543892	236499514.977	0.002995508979798371	0.0	0.0	0.0	-0.001168502861633957	0.0	0.0	0.0	-0.001386866734240251	0.00285158413266
130	32.5	nan	nan	1	1	5.0	5.0	5.0	1.00325	7.00390368261e-20	-1.94872833533e-18	-1.11048997235e-20	0.998722241725	-4.35202881321e-19	3.25220921227e-21	4.14929304893e-21	0.998482171384	238821626.098	10511254.4989	-246420.722364	10463815.8706	131.315790195	-2698157.45561	-245249.365592	-2697508.70958	-16.8537626063	239490678.62713596	10493130.360774467	-245936.6970532247	10493129.976642327	131.0893676000761	-2692857.6720185736	-245936.4252649418	-2692857.5025854046	-16.820658054032698	240224917.578	0.0032447301648890294	0.0	0.0	0.0	-0.0012785753041559852	0.0	0.0	0.0	-0.001518981684775135	0.00309878249141
140	35.0	nan	nan	1	1	5.0	5.0	5.0	1.0035	1.12910153613e-21	-3.55937471943e-19	-4.12680407603e-21	0.998612159298	1.28839791055e-19	7.01712823265e-21	-7.85821581925e-24	0.998350238591	242348014.714	10629696.0756	-245704.94598	10577920.7306	122.262911998	-2719843.14722	-244443.836113	-2719129.70984	-15.2458248328	243085856.25326636	10610126.075497642	-245188.26030410378	10610125.778053408	122.03781758482933	-2714123.669375352	-245188.05849301265	-2714123.605401883	-15.213764837927242	243825166.077	0.003493889254255838	0.0	0.0	0.0	-0.0013888046448762136	0.0	0.0	0.0	-0.0016511237639329703	0.0033459982729
150	37.5	nan	nan	1	1	5.0	5.0	5.0	1.00375	-4.24674526485e-20	-1.71851735342e-18	-2.33066409393e-20	0.998501949788	1.46615695623e-18	-4.44765709588e-20	-2.00379333512e-20	0.998218315411	245766889.333	10744489.2177	-245757.806322	10688311.9251	87.9279902725	-2735627.09717	-244403.176669	-2734849.99829	15.311612052	246574931.59565338	10723453.72526932	-245206.98998931493	10723453.386894722	87.75584541420176	-2729495.743265894	-245206.7352623128	-2729495.7264142083	15.27729417569656	247318983.652	0.003742986278834297	0.0	0.0	0.0	-0.0014991734110983057	0.0	0.0	0.0	-0.0017832736767701659	0.00359321893054
160	40.0	nan	nan	1	1	5.0	5.0	5.0	1.004	4.93603486929e-20	-3.03632112115e-18	2.32065520852e-20	0.998391651596	9.34596632538e-19	1.40185400337e-20	-1.30959234579e-20	0.998086391528	249092282.067	10855171.0126	-247150.462741	10794533.7607	79.4927872404	-2747682.82351	-245694.653517	-2746842.85432	13.3893044771	249971902.9786952	10832652.775448037	-246562.35771734983	10832652.55566675	79.32788542237272	-2741144.595525386	-246562.27636477308	-2741144.735078861	13.357444058394622	250720346.607	0.003992021269537457	0.0	0.0	0.0	-0.0016096431847861135	0.0	0.0	0.0	-0.0019154417598619155	0.00384043622728
