inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	7.55125600158e-06	6.65514045713e-07	-5.9007193719e-08	6.65514045713e-07	8.15259606901e-06	-5.99641089638e-07	-5.9007193719e-08	-5.99641089638e-07	9.64582789054e-06	7.55125600158e-06	6.65514045713e-07	-5.9007193719e-08	6.65514045713e-07	8.15259606901e-06	-5.99641089638e-07	-5.9007193719e-08	-5.99641089638e-07	9.64582789054e-06	2.43046743751e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	2.3434608365e-21	-1.66539029725e-19	9.24684527258e-22	0.999932700952	6.26220443155e-20	-1.67694713324e-22	-1.25421260378e-21	0.99992534465	57318094.3889	560727.195808	-934670.722944	560549.322411	31.9175863965	453480.221291	-934367.353321	453476.884956	20.7572445618	57326231.81160601	560628.9029927116	-934500.0046262508	560628.9033327432	31.911991395138262	453397.39278400724	-934500.0050114957	453397.3926110169	20.75345323530853	57362647.4918	0.0002499687552074404	0.0	0.0	0.0	-6.730131268227468e-05	0.0	0.0	0.0	-7.465813684951936e-05	0.000214007807691
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	9.59668451055e-22	-1.58853801282e-19	1.23565273879e-21	0.999865375383	2.09394775008e-19	8.36925834145e-22	6.02316732909e-22	0.999850660506	114681513.941	1121796.45494	-1869949.00398	1121084.88643	-382.887768608	906891.778171	-1868735.37535	906878.432393	-366.003863985	114714086.31823996	1121403.3068239004	-1869266.1459706065	1121403.3021762169	-382.753580623858	906560.6042656908	-1869266.1422671415	906560.6050851522	-365.87020864495645	114787316.973	0.0004998750416509929	0.0	0.0	0.0	-0.00013463367970711473	0.0	0.0	0.0	-0.00014935064625231848	0.000427995820441
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-1.09795301619e-21	9.83512578447e-21	2.41846931595e-22	0.999793425546	4.58512934381e-20	4.56526149947e-22	-3.05963768826e-21	0.999773851162	168307956.443	1605568.95766	-2833849.45512	1604034.29231	-3146.48726339	1494233.15057	-2831085.12193	1494203.95477	-1554.37199961	168380810.87561733	1604728.5909035902	-2832310.743919828	1604728.6207941354	-3144.840368510148	1493421.8183800362	-2832310.596379388	1493421.8772859443	-1553.5280134904438	168497391.472	0.0007497188905459742	0.0	0.0	0.0	-0.000206595793441548	0.0	0.0	0.0	-0.00022617441350465718	0.000644168514541
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.35055071081e-20	1.68256860098e-19	3.33371881435e-21	0.999690562643	3.86172060705e-19	-6.39384764109e-22	1.25549990361e-20	0.999672490589	192015992.6	1409353.39539	-3950849.27607	1407509.42999	4028.90595179	2471059.29144	-3945610.05274	2471014.58577	4038.49149805	192138355.03224507	1408406.716394195	-3948124.070773873	1408406.3671405439	4026.199689007998	2469354.811365585	-3948124.3976974525	2469354.7766587236	4035.7058391574897	192319020.148	0.0009995003330834232	0.0	0.0	0.0	-0.0003094852426177829	0.0	0.0	0.0	-0.0003275630539200781	0.000878744973468
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-7.56611766545e-21	-2.5530267862e-19	6.48158048481e-21	0.999576179979	-1.31361425303e-19	-1.24585032478e-21	-1.38927568818e-20	0.999556518519	201976863.916	772943.111232	-4664672.91775	771650.996641	-2651.20968828	3019506.57908	-4656783.23931	3019447.12669	-3060.30824808	202152152.785967	772320.6484637893	-4660824.70688008	772320.6863697522	-2649.074629052882	3017015.579551352	-4660824.703544436	3017015.520288916	-3057.7835884365004	202388025.794	0.0012492194004318981	0.0	0.0	0.0	-0.0004239098580890004	0.0	0.0	0.0	-0.00044357984799551614	0.00112203364177
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-1.15153881025e-21	3.91412973669e-19	6.36929071666e-23	0.999458935352	-9.39259811542e-19	5.33621967976e-22	8.60441027996e-21	0.999437231793	208650561.443	259726.976828	-5003832.74368	259198.178938	-540.832591372	3305955.21147	-4993526.91634	3305883.28144	-1581.40180971	208881067.62520415	259483.9992181754	-4999043.041789254	259484.52747331216	-540.3266361879413	3302790.7292144527	-4999043.502623107	3302790.5891525317	-1579.8880814089162	209140244.483	0.0014988761237359487	0.0	0.0	0.0	-0.0005412110762969014	0.0	0.0	0.0	-0.0005629266204630867	0.00136735412828
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	3.61116036168e-21	7.58568048693e-20	7.841672207e-22	0.999340631868	-6.23482216833e-19	5.21123785908e-22	3.1301238162e-20	0.999316476015	213970047.57	-57996.2061309	-5170952.29948	-57856.3879622	-4093.23869976	3474878.77687	-5158391.17211	3474794.79309	-7156.18179384	214257675.9494045	-57934.48968653126	-5165324.791891871	-57934.16117997863	-4088.8828952107956	3471097.093042317	-5165325.318781548	3471097.1032953174	-7148.393776272924	214534278.794	0.001748470534116803	0.0	0.0	0.0	-0.0006595856107712329	0.0	0.0	0.0	-0.0006837576940222968	0.00161348848016
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	1.09037914371e-21	5.58044578959e-19	-1.03848390003e-20	0.999222078984	-3.9695218864e-19	-1.30543560166e-20	1.37243739283e-20	0.999194694414	218578364.277	-240626.234158	-5276340.4639	-239958.827769	-2027.76938264	3584558.80048	-5261568.68133	3584460.67287	-3459.16258272	218924834.7506575	-240339.48900648643	-5269908.418718901	-240339.18860201482	-2025.3529668202787	3580189.096834692	-5269908.839786358	3580189.2071159305	-3454.94574148827	219205897.311	0.001998002662673058	0.0	0.0	0.0	-0.0007782237535677431	0.0	0.0	0.0	-0.0008056300187332261	0.0018600203362
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	-2.87864798529e-20	-2.98620886528e-19	-2.31196981209e-21	0.999103558607	-1.18141657398e-18	9.47104272253e-21	2.53174136108e-20	0.999072101223	222745625.532	-341619.208641	-5357708.58416	-340546.175735	-1163.69764934	3661977.15233	-5340721.28212	3661861.99792	-1584.45995031	223152546.06600463	-341168.86115529726	-5350477.191581538	-341168.29898142675	-1162.163577785354	3657034.5179955857	-5350477.923359978	3657034.6629750077	-1582.32137712231	223436847.858	0.00224747254047937	0.0	0.0	0.0	-0.0008968434368762838	0.0	0.0	0.0	-0.0009283295415613474	0.00210678444842
