inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.55394295479e-06	-8.7401701907e-07	6.66365271648e-07	-8.7401701907e-07	6.09691008293e-06	-7.43250029188e-07	6.66365271648e-07	-7.43250029188e-07	5.25157570332e-06	3.55394295479e-06	-8.7401701907e-07	6.66365271648e-07	-8.7401701907e-07	6.09691008293e-06	-7.43250029188e-07	6.66365271648e-07	-7.43250029188e-07	5.25157570332e-06	3.21134264457e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	4.30314864287e-21	6.39543996377e-20	3.1380130513e-21	0.999924421622	1.21785413845e-20	5.03967543016e-21	7.47667876171e-22	0.999929121718	53849601.345	372801.006499	-1396450.943	372679.661117	18.1089884715	900132.120362	-1396002.96361	900136.35151	18.9690483239	53857488.84442482	372734.248304777	-1396207.440614333	372734.2485334205	18.105745660057742	899975.1622391082	-1396207.4400090354	899975.1623599341	18.96574064700389	53938130.78	0.0002499687552074404	0.0	0.0	0.0	-7.55812341899516e-05	0.0	0.0	0.0	-7.088079398438002e-05	0.000215483602342
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	2.44452550525e-21	-3.03101465412e-20	-2.23783374969e-21	0.999848813933	3.39480610258e-20	-2.30364630717e-21	1.17661272257e-21	0.999858217921	107742265.66	745862.966786	-2793841.38786	745377.513429	-114.791549229	1800390.7482	-2792049.24724	1800407.68207	-110.615196209	107773837.65122057	745595.9338167529	-2792867.4079164164	745595.9333050426	-114.75045169553854	1799763.101803544	-2792867.40856027	1799763.1022602927	-110.57663389725558	107935211.461	0.0004998750416509929	0.0	0.0	0.0	-0.0001511974967652761	0.0	0.0	0.0	-0.00014179213102883607	0.000430947450181
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	2.48691851164e-21	1.23273899508e-19	1.68103779986e-21	0.999768592205	-1.97527680049e-19	1.08670335986e-20	-3.64124905646e-21	0.999785283239	158097333.761	1071198.64373	-4000801.05296	1070148.20149	-3294.12506485	2682272.51521	-3996944.39221	2682317.24696	-1646.32094452	158167888.4811133	1070625.7281334542	-3998728.037772324	1070625.7807447521	-3292.363248180729	2680882.6956243943	-3998728.1243336997	2680882.647136091	-1645.4679032723595	158400857.176	0.0007497188905459742	0.0	0.0	0.0	-0.00023143457391507774	0.0	0.0	0.0	-0.00021473981594401928	0.000648609012904
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-7.84870324221e-21	-2.27394845523e-19	4.86713072426e-21	0.999653819813	1.20625680777e-20	3.18056115405e-21	-7.85211536224e-21	0.999689533978	178277002.666	1139597.47513	-3656113.67215	1138064.81441	4249.00945379	3511243.87978	-3651327.11888	3511369.13861	4520.83370299	178394125.31879997	1138812.5787250064	-3653726.058509243	1138812.4889172486	4246.082953584581	3508950.8729057205	-3653725.9314694447	3508950.6872939467	4517.881386627664	178616288.612	0.0009995003330834232	0.0	0.0	0.0	-0.00034624012119329975	0.0	0.0	0.0	-0.000310514226552717	0.000885491935628
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-3.14245914709e-20	1.12128467935e-19	-8.23871890103e-22	0.999527828795	-4.07532655856e-19	-8.83352638494e-21	7.38041561793e-21	0.99958258818	186864148.854	1040053.11043	-2720262.53943	1038264.07253	-3314.52051554	4471751.26339	-2715732.5385	4471996.08017	-3935.41899902	187030491.14226764	1039188.4366327878	-2718149.8884677594	1039188.3119986723	-3311.764907185612	4468278.345069594	-2718150.022900017	4468278.175965896	-3932.362615081102	187262011.07	0.0012492194004318981	0.0	0.0	0.0	-0.0004722827129255562	0.0	0.0	0.0	-0.0004174989605635733	0.00112984963412
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	3.64571583177e-20	-1.10585569297e-19	-1.01693584507e-20	0.999398980836	6.03415021968e-19	-3.07706017991e-21	-1.22284177905e-20	0.999473717875	192924719.325	1031869.4586	-2121141.51455	1029704.50674	-2069.72947329	5405664.13978	-2116849.71927	5406068.49535	-2179.03258828	193142387.89580834	1030866.4992528567	-2119238.2705121124	1030866.2775546536	-2067.717731878335	5400813.7806812385	-2119238.06874964	5400813.889853618	-2177.0774001166646	193413985.519	0.0014988761237359487	0.0	0.0	0.0	-0.0006011998484177006	0.0	0.0	0.0	-0.000526420660045191	0.00137580183313
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	8.63411123383e-21	-3.69557414319e-19	-1.38288054807e-20	0.999268639714	-1.08139161956e-18	9.26504324605e-21	-8.00462678768e-21	0.999364008191	197742505.118	1072233.08273	-1811139.24567	1069576.93246	-6351.03806901	6212146.79394	-1806825.16329	6212739.86661	-6404.02457995	198013166.7326932	1071041.1261959407	-1809298.5380106186	1071040.9243286448	-6343.977886437444	6205833.228479948	-1809298.2694938106	6205833.424346941	-6397.516004133224	198344489.196	0.001748470534116803	0.0	0.0	0.0	-0.0007316278604040786	0.0	0.0	0.0	-0.0006361941375810777	0.00162252349672
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-1.10395524551e-20	-9.76329548802e-20	1.2927178613e-20	0.999137513034	1.02865678756e-18	-2.48903816196e-21	1.15991401395e-21	0.999253821134	201839571.899	1147564.75886	-1651847.93015	1144286.21199	1592.51591279	6867176.92568	-1647320.42659	6867976.79336	1665.72936244	202164657.16840813	1146129.4279959928	-1649973.909484184	1146129.213280604	1590.5240537481518	6859386.116829109	-1649973.6209048766	6859386.5861506155	1663.839593296066	202541729.81	0.001998002662673058	0.0	0.0	0.0	-0.0008628591218846006	0.0	0.0	0.0	-0.0007464573960139384	0.00186964883963
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	4.02671522191e-21	6.60724576347e-19	1.73046184146e-21	0.9990059369	9.25252800339e-19	4.34218122802e-21	8.89756825893e-21	0.999143249267	205470936.26	1230255.67837	-1583094.18818	1226273.568	701.491427052	7393504.32111	-1578186.56081	7394520.82919	727.797304801	205851754.2176654	1228546.3752886706	-1581111.9477231733	1228546.3322371468	700.5167829362609	7384246.689130518	-1581111.557375656	7384246.967048567	726.886007625685	206277143.443	0.00224747254047937	0.0	0.0	0.0	-0.0009945575083991423	0.0	0.0	0.0	-0.0008571179536685701	0.00211702782249
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	-1.78042355046e-20	4.9089033452e-20	-1.65634645858e-20	0.998874066264	8.11173426929e-19	1.55197694479e-20	-3.62350603232e-20	0.999032471493	208797113.211	1307729.8667	-1569341.90253	1302999.93695	40.5399222498	7816937.99557	-1563913.47739	7818177.88306	46.560642603	209234910.66152787	1305732.027922111	-1567192.8870430894	1305732.0151941	40.47798879490432	7806233.686467173	-1567192.6287284363	7806233.933973156	46.496883684772214	209701036.211	0.002496880198587146	0.0	0.0	0.0	-0.0011265680755827541	0.0	0.0	0.0	-0.0009679968648297708	0.00236454812639
110	27.5	nan	nan	1	1	5.0	5.0	5.0	1.00275	1.78671012311e-20	4.11911129633e-20	7.82347423353e-21	0.998742024797	1.53655829817e-19	1.69536870397e-20	-9.90449521859e-20	0.998921542569	211907750.896	1377361.64495	-1586717.47227	1371856.23775	-68.6208244161	8164420.38302	-1580658.97549	8165888.55058	-31.8771803238	212403729.73940372	1375067.2396402815	-1584359.0502617522	1375067.1239362697	-68.50651603204085	8152285.173663318	-1584358.5731081355	8152285.83547775	-31.829799586555296	212903612.002	0.0027462256680252286	0.0	0.0	0.0	-0.0012587671180147354	0.0	0.0	0.0	-0.0010790393846610215	0.0026121477752
120	30.0	nan	nan	1	1	5.0	5.0	5.0	1.003	-2.2077450549e-20	1.17103545729e-19	1.85073390253e-20	0.998609901119	-6.23499794421e-20	-5.46497551198e-21	-6.03552333949e-20	0.998810476161	214856052.21	1440627.4153	-1619815.2635	1434321.62662	-135.715170127	8457068.3528	-1613048.40262	8458767.77069	-5.7591541693	215411376.09520045	1438029.02973228	-1617218.4459947818	1438028.8205767388	-135.47038765539577	8443510.34798535	-1617217.5395688806	8443511.126353908	-5.7499213433733205	215939852.635	0.002995508979798371	0.0	0.0	0.0	-0.0013910659647815994	0.0	0.0	0.0	-0.0011902318840286022	0.00285979022741
130	32.5	nan	nan	1	1	5.0	5.0	5.0	1.00325	-3.71668792832e-20	5.25666661833e-19	1.77546046678e-20	0.998477785566	3.34433257558e-20	-2.02276679042e-20	-1.34904886101e-20	0.998699251746	217677948.702	1498459.97525	-1662633.85585	1491331.90392	-119.476966762	8706512.28138	-1655091.29197	8708444.14332	3.13545255293	218293751.59226185	1495551.0920129444	-1659774.332945172	1495550.826885095	-119.24503227488053	8691538.165941311	-1659773.4842054553	8691538.888853585	3.1300599655237606	218846499.683	0.0032447301648890294	0.0	0.0	0.0	-0.0015233741794620553	0.0	0.0	0.0	-0.0013015949613248965	0.00310744901499
140	35.0	nan	nan	1	1	5.0	5.0	5.0	1.0035	1.66693437042e-20	3.30433012116e-19	1.96835898563e-20	0.9983457044	-2.33830352048e-18	-5.55273937498e-20	-2.18997721535e-19	0.998587886089	220396377.021	1551474.72955	-1710236.22256	1543505.64663	-116.580963741	8923098.68052	-1701863.85827	8925263.98466	-2.39082302403	221073763.2711158	1548249.8123722933	-1707095.3133698236	1548249.5971256276	-116.33863691132697	8906711.094828157	-1707094.5212815397	8906711.805503303	-2.386432193157619	221647371.586	0.003493889254255838	0.0	0.0	0.0	-0.0016556654579407096	0.0	0.0	0.0	-0.00141311188345959	0.00335510907708
150	37.5	nan	nan	1	1	5.0	5.0	5.0	1.00375	-2.31544397066e-20	7.47887079034e-20	-1.9137650652e-20	0.998213666681	1.10434939708e-18	-2.65996469579e-20	-1.85840600271e-19	0.998476404149	223028870.866	1600663.48519	-1759546.15383	1591834.53367	-110.65818551	9114609.78813	-1750300.90232	9117009.42078	0.145796541912	223768921.1246784	1597116.7828600926	-1756109.503847552	1597116.5294665152	-110.4129924085024	9096807.627328355	-1756108.7182789715	9096808.223680392	0.1455117800232537	224360679.669	0.003742986278834297	0.0	0.0	0.0	-0.00178793071496763	0.0	0.0	0.0	-0.0015247577034374008	0.0036027591121
160	40.0	nan	nan	1	1	5.0	5.0	5.0	1.004	6.17738481455e-21	6.36873650565e-19	-1.26426284823e-20	0.998081678777	4.51252666747e-19	-3.54686774857e-20	-1.67059050872e-19	0.998364823962	225588208.539	1646808.1874	-1809192.12828	1637100.38895	-91.1008297355	9286988.11544	-1799036.93768	9289623.21566	-6.36582315359	226391981.6810559	1642933.6843983287	-1805447.6200004057	1642933.3947263628	-90.88649363918202	9267766.716370672	-1805446.9250700264	9267767.195445348	-6.35264772731561	226999785.26	0.003992021269537457	0.0	0.0	0.0	-0.001920163557660748	0.0	0.0	0.0	-0.001636514397505319	0.00385039103446
170	42.5	nan	nan	1	1	5.0	5.0	5.0	1.00425	-1.2427561523e-20	-9.65728402072e-19	8.47032947254e-21	0.997949735901	-2.11155428942e-18	-2.63469432807e-20	1.03298728486e-19	0.998253168825	228084009.835	1691183.65054	-1858290.72042	1680573.61418	-77.614060292	9444070.01796	-1847193.42719	9446941.99236	-5.03541001687	228952544.47401172	1686973.395473151	-1854228.0654190995	1686973.170196138	-77.42083763964933	9423423.08803364	-1854227.4646818428	9423423.53215205	-5.024401441374396	229574696.638	0.004240994257254614	0.0	0.0	0.0	-0.002052368767680738	0.0	0.0	0.0	-0.0017483586636793552	0.00409799920607
