inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.20738151415e-06	2.47916504366e-07	7.13211028467e-08	2.47916504366e-07	6.14858885802e-06	-8.39916706611e-07	7.13211028467e-08	-8.39916706611e-07	6.8094839246e-06	6.20738151415e-06	2.47916504366e-07	7.13211028467e-08	2.47916504366e-07	6.14858885802e-06	-8.39916706611e-07	7.13211028467e-08	-8.39916706611e-07	6.8094839246e-06	1.64845721501e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-7.94610375934e-22	-7.20903930464e-20	-2.34908954207e-21	0.999937137373	-1.75553704625e-20	1.10532009352e-22	-1.55369075962e-21	0.999920543972	54197774.1521	-942161.6792	-999216.097616	-941866.986237	295.558244682	-344785.299964	-998886.981961	-344779.578828	273.183490424	54205488.33354688	-942001.0453120195	-999029.157624291	-942001.0458537338	295.5078534688823	-344720.79523747443	-999029.1574570296	-344720.7956218199	273.1323814401108	54260638.7274	0.0002499687552074404	0.0	0.0	0.0	-6.286460293747229e-05	0.0	0.0	0.0	-7.945918479715852e-05	0.000214301375415
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-1.76243754201e-21	-8.18391818545e-23	3.13242958216e-22	0.999874249845	3.56811026368e-19	2.62112856603e-22	6.17878068183e-22	0.999841058222	108438448.062	-1885172.6706	-1999263.40876	-1883993.61319	10.2178732212	-689573.102177	-1997946.66836	-689550.211368	11.3929304499	108469326.23618604	-1884530.0858848838	-1998515.590266935	-1884530.086036976	10.21439033114128	-689315.1694224323	-1998515.5896821197	-689315.1695423676	11.388668958371014	108580175.04	0.0004998750416509929	0.0	0.0	0.0	-0.00012575806221390757	0.0	0.0	0.0	-0.00015895441058322147	0.00042858294292
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	1.08967604019e-20	-1.94830502566e-20	-1.593951191e-21	0.999811614054	-2.39528499435e-19	-1.33165738863e-21	-2.81003593842e-21	0.999756528556	160317018.89	-2813611.93121	-3008074.76907	-2810973.70232	3052.20311071	-1079185.59177	-3005088.607	-1079126.17454	2681.46370822	160386275.53197017	-2812187.9912032187	-3006386.7647818998	-2812188.037520574	3050.65842216573	-1078579.9984764773	-3006386.799463811	-1078580.0399024377	2679.9589842402634	160552697.169	0.0007497188905459742	0.0	0.0	0.0	-0.00018840369286099123	0.0	0.0	0.0	-0.0002435010879838158	0.000644566284877
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	1.10430744351e-20	-3.04248196235e-19	-6.56070548028e-21	0.999743740381	-7.19714082852e-19	-1.76499663204e-21	-1.59066831794e-21	0.999617188513	181822856.912	-3084401.96092	-3653247.75337	-3080530.86572	-321.831604633	-2196644.58946	-3648201.23502	-2196366.48391	-160.292712475	181939111.09288305	-3082500.6569398823	-3650533.6395744095	-3082500.5003333893	-321.63321942945834	-2195012.632421564	-3650533.8275965154	-2195012.5876310566	-160.17362592745894	182167139.367	0.0009995003330834232	0.0	0.0	0.0	-0.00025629245910667914	0.0	0.0	0.0	-0.0003828847780227951	0.000882424658104
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	7.76407232579e-21	-3.28864470879e-19	-3.58422529298e-21	0.999667820865	-1.35063622061e-18	-3.71073222791e-21	-1.20316522023e-20	0.999459566678	189945477.428	-2895094.33877	-4013921.42677	-2890519.51569	-3781.50269701	-2953124.45477	-4006743.30632	-2952509.28479	-3841.47720304	190111336.8198107	-2893043.4858857873	-4010242.407763015	-2893043.502127481	-3778.823922225712	-2950417.7249056255	-4010241.9735003207	-2950417.7597915614	-3837.9562403348937	190376570.412	0.0012492194004318981	0.0	0.0	0.0	-0.0003322343187100645	0.0	0.0	0.0	-0.0005405794087236019	0.00113017042172
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-2.42117833246e-20	-4.39787116276e-19	-9.16386871738e-22	0.999588950983	2.13096160095e-18	2.61306355506e-21	1.32700449769e-20	0.999299162067	195102257.677	-2591320.1421	-4165915.1677	-2586375.31909	-1382.21963149	-3389675.7707	-4156759.75012	-3388692.86416	-3129.75517669	195319374.47319892	-2589253.6307871765	-4161386.187920574	-2589253.53039178	-1381.1173468055044	-3385990.6805322166	-4161385.5415908955	-3385990.4685641415	-3126.352659514498	195593960.397	0.0014988761237359487	0.0	0.0	0.0	-0.0004111335208047393	0.0	0.0	0.0	-0.0007010836347089451	0.00138017960583
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-1.97541070035e-20	2.89366389835e-20	-5.67008399216e-21	0.999508406903	-8.86733273959e-19	4.2302016526e-21	-1.03500974146e-21	0.99913818309	199067535.293	-2243715.86629	-4184039.33749	-2238695.30645	208.99271236	-3683333.90783	-4173129.64887	-3681970.09769	-379.429423341	199337235.85090837	-2241728.1821549297	-4178784.321411459	-2241728.334272682	208.80756792841797	-3678707.7613368616	-4178783.485859882	-3678708.2793559874	-378.95287243898946	199608188.542	0.001748470534116803	0.0	0.0	0.0	-0.0004917139685009499	0.0	0.0	0.0	-0.000862188487696239	0.0016310336534
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	1.26186402445e-20	1.07185650184e-19	8.30343285926e-21	0.9994268093	8.17563190366e-19	3.64042187585e-21	-2.8684762487e-20	0.998977183594	202442516.112	-1919281.30445	-4138475.43424	-1914352.75114	312.644081439	-3888055.40579	-4125989.48989	-3886307.07061	-472.900378013	202766013.2345799	-1917411.5636470667	-4132583.762811351	-1917411.8299268598	312.3395073286219	-3882520.240652188	-4132582.6984383264	-3882521.07692278	-472.22714128850834	203030969.506	0.001998002662673058	0.0	0.0	0.0	-0.0005733550365899239	0.0	0.0	0.0	-0.001023339839648083	0.00188224908358
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	3.4197094089e-20	1.23459684274e-18	4.6458857598e-21	0.999344472705	1.46368658134e-18	-8.84256074819e-22	2.36212797648e-20	0.998816342356	205473137.201	-1644487.78643	-4067399.77799	-1639720.37805	122.021853829	-4030738.57427	-4053464.12899	-4028608.6122	-277.618204514	205851576.59601137	-1642740.4377164703	-4060930.7244076347	-1642740.4068299667	121.89219964057747	-4024327.829018314	-4060929.778921527	-4024328.018489344	-277.1766627088008	206109336.155	0.00224747254047937	0.0	0.0	0.0	-0.00065574224695981	0.0	0.0	0.0	-0.0011843587199863058	0.00213362275526
