inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.29803030951e-05	-3.21709992831e-07	-7.17327707764e-07	-3.21709992831e-07	1.75803764206e-05	-8.41008134343e-08	-7.17327707764e-07	-8.41008134343e-08	1.84320002857e-05	1.29803030951e-05	-3.21709992831e-07	-7.17327707764e-07	-3.21709992831e-07	1.75803764206e-05	-8.41008134343e-08	-7.17327707764e-07	-8.41008134343e-08	1.84320002857e-05	5.26107003876e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-3.9729226327e-22	1.41288807575e-19	-8.46490109977e-22	0.99993142045	-3.70094564729e-20	1.5859895776e-22	5.30416643103e-22	0.999926448662	54291084.4953	-2390238.87404	94942.2489808	-2389477.58404	843.932324161	313011.881014	94911.5368237	313010.325382	792.684435383	54298801.758321695	-2389817.237929506	94925.02926675309	-2389817.2388317934	843.7834552146601	312955.10992270807	94925.02812342758	312955.1106260307	792.5406658867719	54458475.5287	0.0002499687552074404	0.0	0.0	0.0	-6.858190168502763e-05	0.0	0.0	0.0	-7.355404303276678e-05	0.000214043736017
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	3.28385533305e-21	-2.37302685653e-19	-2.34660800024e-22	0.999862812037	1.39684956066e-21	2.42904171816e-21	-6.02239184727e-22	0.999852866601	108624421.071	-4782326.08637	190002.423036	-4779280.36928	88.074312991	625995.314645	189879.526979	625989.088295	83.5029458421	108655311.90406908	-4780639.510051352	189933.52589487226	-4780639.510720039	88.04325194499664	625768.3212896036	189933.52530380865	625768.3215900571	83.47266667959072	108976165.713	0.0004998750416509929	0.0	0.0	0.0	-0.00013719737412933112	0.0	0.0	0.0	-0.00014714422418013766	0.000428069084022
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-1.75646633197e-21	5.67396346923e-19	-4.56655396918e-22	0.999792409027	-6.42772068718e-20	2.44372417403e-21	-1.11987330243e-21	0.999775567048	160231792.903	-6999354.0402	324270.940598	-6992656.48794	2315.45768951	921125.095647	323955.076826	921109.530228	2596.47661988	160301039.31872177	-6995678.519637263	324095.1988959398	-6995678.462476957	2314.2417898282492	920625.8831926837	324095.07855423796	920625.8345898824	2595.0694348275993	160764774.023	0.0007497188905459742	0.0	0.0	0.0	-0.0002076125229887471	0.0	0.0	0.0	-0.0002244581408440997	0.000643909603502
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	7.10062177573e-21	5.02288366373e-20	-2.70777573519e-21	0.999702107931	-3.88788432982e-19	-5.86166031449e-21	1.56419853834e-21	0.999657976103	181400492.964	-8008750.44492	884286.886733	-7998366.25435	-2542.97044161	1453011.5198	883101.458523	1452947.43071	-2782.7994582	181516629.8595008	-8003487.079065147	883666.7205574438	-8003486.998018779	-2541.299196653085	1451992.4968892308	883666.841009725	1451992.5509259077	-2780.8478312752723	182071655.792	0.0009995003330834232	0.0	0.0	0.0	-0.0002979364476555218	0.0	0.0	0.0	-0.0003420824005131718	0.000880042334367
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-6.61537694889e-21	6.01808404574e-19	3.00742191209e-21	0.999601472757	4.88403416008e-19	1.57112617597e-21	-1.19282546257e-20	0.999523993795	188977624.59	-8467660.84052	1822706.74864	-8453719.05152	-6015.53256647	1847833.76031	1819564.78122	1847690.50751	-5631.13171369	189143000.58977115	-8461117.022875782	1821156.9903023804	-8461116.976237081	-6010.883756262642	1846262.6377041766	1821157.0985406113	1846262.610246302	-5626.343838004546	189768867.849	0.0012492194004318981	0.0	0.0	0.0	-0.00039860667608662004	0.0	0.0	0.0	-0.00047611953191767164	0.00112527857813
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	2.19149095587e-20	9.04568709682e-19	-3.10151370677e-21	0.999496474414	-6.43963829185e-19	-9.24953360957e-21	-1.14805431192e-20	0.999389577748	194060724.135	-8819855.28944	2580947.51956	-8802210.67089	-1717.87962878	2123316.60464	2575508.80087	2123089.29816	-1944.1816254	194277078.95344415	-8812024.377222838	2578380.1771045346	-8812024.097589795	-1716.3543696764038	2121204.480769145	2578380.18940829	2121204.264292948	-1942.247692226157	194963309.787	0.0014988761237359487	0.0	0.0	0.0	-0.0005036523975780011	0.0	0.0	0.0	-0.0006106086355151893	0.00137206139035
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	1.16082391263e-20	-3.50094888481e-19	-1.3772557199e-22	0.999388586077	6.10871228009e-19	-3.43238595179e-21	3.76201742589e-21	0.999256021556	198070724.826	-9157711.96817	3125339.59386	-9136124.60579	647.875938244	2312999.95305	3117559.35974	2312692.78082	-552.992509658	198339462.398998	-9148520.270600555	3121788.509161808	-9148520.278877601	647.2256579439049	2310371.86784725	3121789.1889424208	2310371.505299846	-552.364186501336	199085057.072	0.001748470534116803	0.0	0.0	0.0	-0.0006116009127157066	0.0	0.0	0.0	-0.0007442553333041838	0.00161941118789
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-1.11714877628e-20	2.71389583775e-19	-1.89837950581e-21	0.999278975689	-5.35640392068e-19	3.28307985122e-21	2.10440951688e-20	0.999123111513	201490737.674	-9469745.5831	3501565.58724	-9444029.49818	-37.4740198466	2457929.76135	3491512.63216	2457546.06428	100.548490214	201813089.7950636	-9459138.50496132	3497097.9269945677	-9459138.395865666	-37.43204513321589	2454793.679843812	3497098.4795080707	2454793.3627523324	100.42020003028786	202612199.837	0.001998002662673058	0.0	0.0	0.0	-0.0007212843740436322	0.0	0.0	0.0	-0.0008772731786130383	0.00186702768287
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	1.02181621069e-20	-2.44763084466e-18	-1.41985552145e-21	0.999168412234	2.65202376191e-20	4.11315559592e-22	5.66837922461e-20	0.998990540233	204551147.265	-9747277.85778	3771591.84789	-9717308.36286	-78.3797732876	2578143.23641	3759326.57626	2577684.21791	-71.3510466605	204928257.90072384	-9735223.033390794	3766256.790121913	-9735223.199238285	-78.28283808000309	2574496.356351028	3766257.273320479	2574496.299084753	-71.25011793568035	205772649.804	0.00224747254047937	0.0	0.0	0.0	-0.0008319337269170525	0.0	0.0	0.0	-0.001009969614653224	0.00211478231772
