inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.18248903675e-05	-9.0459308907e-08	-1.23553484501e-08	-9.0459308907e-08	1.18618521506e-05	-1.86874024992e-07	-1.23553484501e-08	-1.86874024992e-07	9.26636088129e-06	1.18248903675e-05	-9.0459308907e-08	-1.23553484501e-08	-9.0459308907e-08	1.18618521506e-05	-1.86874024992e-07	-1.23553484501e-08	-1.86874024992e-07	9.26636088129e-06	2.6022642918e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-1.42171667783e-22	1.00003690059e-19	8.97568512802e-22	0.999928774552	1.49587212727e-21	1.11648703179e-21	6.54816852412e-22	0.999926354273	56126475.8062	1354237.2289	-388462.517715	1353802.32192	12.369239564	322925.238512	-388336.824978	322924.45687	3.63646502573	56134607.79833863	1353998.4704131575	-388393.08983023366	1353998.47016699	12.367058808030022	322867.5237641797	-388393.0899039998	322867.5237470276	3.6358150992551153	56190377.3597	0.0002499687552074404	0.0	0.0	0.0	-7.122798465353838e-05	0.0	0.0	0.0	-7.364843898011938e-05	0.000214942520828
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-5.01685041513e-21	1.24766521074e-19	-5.07692440712e-21	0.9998575219	1.14873350475e-19	-9.60263633355e-21	-7.59868790207e-22	0.999852680453	112298128.492	2709428.37436	-777112.371815	2707688.49315	-277.135444007	645832.654295	-776609.580813	645829.526018	-295.985639391	112330679.30074775	2708473.348258131	-776834.6917409883	2708473.34550215	-277.03775861133335	645601.8834750412	-776834.6893724762	645601.8824085429	-295.87987693342836	112442492.741	0.0004998750416509929	0.0	0.0	0.0	-0.00014248825096892687	0.0	0.0	0.0	-0.00014733039959054505	0.000429865335317
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-4.40701150853e-21	-2.43192030669e-19	-1.91321705805e-21	0.999783685885	2.1982903805e-19	2.30576595749e-22	2.675102101e-21	0.999775122449	164827185.091	4038585.85635	-1108864.97505	4034686.2926	736.126422449	826498.934749	-1107784.79051	826491.961191	-1080.70423066	164899929.54421565	4036466.8977504387	-1108273.6848291208	4036466.9518285715	735.7401928456949	826058.2131564885	-1108273.6977180054	826058.3187451223	-1080.127956850627	165065607.199	0.0007497188905459742	0.0	0.0	0.0	-0.00021633751427241292	0.0	0.0	0.0	-0.0002249028397475487	0.000646911613274
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.24817418531e-20	1.42805404454e-19	-9.24963700714e-21	0.999688394986	4.56711541802e-19	-2.72349216683e-21	-6.31697154291e-21	0.999662866092	186844151.844	4839531.57812	-1279118.10575	4833190.43186	1979.18860018	698846.543047	-1277409.36654	698828.800112	1628.0550076	186965423.95037794	4836327.371185778	-1278238.5710323376	4836327.437639484	1977.878198597851	698366.00900236	-1278238.4753082348	698366.1123392254	1626.9355402927895	187168188.525	0.0009995003330834232	0.0	0.0	0.0	-0.0003116535729300681	0.0	0.0	0.0	-0.00033719075041182173	0.000882738134743
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-1.28452877323e-20	1.01530759174e-19	-9.06843275421e-21	0.999581927629	-8.36412465177e-19	-2.10194865456e-20	-1.2172376304e-20	0.9995379839	196294532.709	5203384.07087	-1535231.91982	5194715.36929	-535.04736371	878401.496926	-1532606.92564	878362.86503	-422.344377006	196467403.45681918	5199290.1166613195	-1533956.5805900015	5199290.200377773	-534.6263954753539	877671.796172481	-1533956.646906771	877671.7806704638	-421.9935294593778	196697982.736	0.0012492194004318981	0.0	0.0	0.0	-0.00041815978761841697	0.0	0.0	0.0	-0.00046212286232305555	0.00112652646553
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	5.52722085308e-21	-2.61543652944e-19	-2.15664080268e-20	0.999472408199	8.15403628582e-21	-4.79144369821e-21	-2.7081893255e-21	0.999410866157	202946797.073	5324571.34119	-1732431.939	5313790.91833	-1912.1791018	1045600.64038	-1728818.4143	1045536.24075	-1980.50741333	203173623.1172499	5319730.479781497	-1730750.3128998263	5319729.943687184	-1910.440634339072	1044585.7033497832	-1730750.6499785015	1044585.6861016126	-1978.584986894151	203414527.111	0.0014988761237359487	0.0	0.0	0.0	-0.000527731026525708	0.0	0.0	0.0	-0.000589307450531181	0.00137205756579
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-7.72710769216e-21	-1.01486592899e-18	-5.42268590317e-22	0.99936101312	1.91364269417e-18	1.12744717491e-21	7.14518613123e-21	0.999283254305	208326411.955	5396741.4713	-1878736.78643	5383870.43387	-6150.91650941	1210970.80245	-1874110.88341	1210876.80163	-5587.55020553	208609134.6131115	5391177.775835157	-1876653.8978529198	5391176.958979838	-6144.575307692253	1209628.242241556	-1876654.265238454	1209628.4650540235	-5581.355487578543	208859681.818	0.001748470534116803	0.0	0.0	0.0	-0.0006391911191253135	0.0	0.0	0.0	-0.0007170026799984913	0.00161833528863
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-5.34358675709e-22	2.20233901601e-18	-1.50381435362e-21	0.999248266948	-5.1736762337e-19	2.02038864616e-20	-3.06528319594e-20	0.999155711692	212985093.577	5467380.71022	-1996054.49254	5452365.5059	-2919.03982385	1369770.2988	-1990388.62387	1369643.43524	-2913.88928128	213325430.126852	5461078.49939677	-1993568.9835326911	5461078.037061902	-2915.6750674252435	1368064.645758795	-1993569.1375187999	1368064.6570024793	-2910.2608742991333	213579001.427	0.001998002662673058	0.0	0.0	0.0	-0.0007520157449729838	0.0	0.0	0.0	-0.0008446449201101388	0.00186498892975
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	1.58256194794e-20	-6.20856590472e-19	-1.16660383716e-20	0.99913461709	-1.03205401833e-18	-9.65816083217e-21	-1.20768369433e-21	0.999028288839	217186954.944	5542726.73265	-2092738.61475	5525497.31317	3291.10660139	1520040.44348	-2086011.93357	1519878.93602	3027.02779929	217586498.84197974	5535662.659752247	-2089849.0432184443	5535662.190408367	3286.912164596002	1517941.6311575552	-2089849.4262011098	1517941.886600522	3022.848197837431	217840439.533	0.00224747254047937	0.0	0.0	0.0	-0.0008657575699549821	0.0	0.0	0.0	-0.0009721835783502857	0.00211185614721
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	-2.96258872289e-20	-1.30965151506e-18	1.49350561524e-20	0.999020327677	-1.53272018013e-18	-1.3441684954e-21	1.61382937509e-21	0.998900940178	221071711.506	5627421.84175	-2174302.07245	5607888.44577	-1016.22619964	1660243.37964	-2166496.45425	1660045.4085	-1191.60480109	221531978.62353292	5619564.60850128	-2171006.7479921337	5619563.963333045	-1014.8073036502273	1657727.1512445714	-2171007.0588468066	1657727.586174813	-1189.7988310295852	221797268.798	0.002496880198587146	0.0	0.0	0.0	-0.0009801525155765417	0.0	0.0	0.0	-0.0010996642311408237	0.00235886843779
110	27.5	nan	nan	1	1	5.0	5.0	5.0	1.00275	-5.71126853937e-21	-7.61687346783e-19	-2.58154797372e-20	0.998905622561	-5.29268826605e-19	3.27728958694e-20	-1.16748271656e-20	0.998773678843	224734254.868	5716284.10541	-2242459.46743	5694368.36795	35.2155009038	1788350.25059	-2233567.6517	1788114.5031	-104.579303477	225256705.48053792	5707606.793931084	-2238759.664053722	5707606.342034545	35.162043821436754	1785399.6758343796	-2238760.1346548614	1785400.1477220578	-104.40675950654587	225528109.947	0.0027462256680252286	0.0	0.0	0.0	-0.0010949767072462526	0.0	0.0	0.0	-0.0012270737040955277	0.00260595016601
120	30.0	nan	nan	1	1	5.0	5.0	5.0	1.003	2.30295354341e-20	-5.57366290857e-19	-3.44673753542e-20	0.998790640087	-1.91355537492e-18	3.48623540967e-20	-2.84310248341e-20	0.99864644153	228223507.061	5805459.0526	-2301534.40292	5781094.45279	71.2592998352	1904866.33047	-2291544.97841	1904591.62503	-32.0535897061	228809552.72251725	5795939.911854417	-2297428.869943583	5795939.4850415345	71.14245682615639	1901468.3836370136	-2297429.341550602	1901468.6892591587	-31.99641173414196	229087892.522	0.002995508979798371	0.0	0.0	0.0	-0.001210091778818742	0.0	0.0	0.0	-0.001354475357733312	0.00285307974323
130	32.5	nan	nan	1	1	5.0	5.0	5.0	1.00325	2.18623835898e-20	-3.60689314369e-19	-2.34134506359e-20	0.998675464926	-3.57299838412e-19	-1.01610866446e-20	1.8505684664e-20	0.998519217341	231575042.519	5892369.055	-2352844.35315	5865501.06074	51.8513552418	2011991.40226	-2341749.94308	2011676.94177	-19.0201281424	232226054.9126707	5881990.842140111	-2348332.829611902	5881990.37601376	51.760029597266325	2008133.4562137204	-2348333.1578307766	2008133.7808932548	-18.983657495415926	232511006.653	0.0032447301648890294	0.0	0.0	0.0	-0.0013254130459362766	0.0	0.0	0.0	-0.001481880101157359	0.00310023423896
140	35.0	nan	nan	1	1	5.0	5.0	5.0	1.0035	1.28477692742e-20	2.34078816424e-18	5.47017124021e-20	0.998560156879	2.44845668111e-18	-1.74684001759e-20	-1.68422244522e-20	0.998391995192	234812937.117	5976571.66331	-2397543.15832	5947151.01375	18.4913350387	2110644.65664	-2385339.43209	2110289.67539	5.43821468595	235530252.19113275	5965318.88158235	-2392626.0308650993	5965318.586298104	18.456519266593077	2106315.930063092	-2392626.253474585	2106316.3892927114	5.42706143740675	235821400.296	0.003493889254255838	0.0	0.0	0.0	-0.001440880691185208	0.0	0.0	0.0	-0.0016092990353330286	0.00334739865408
150	37.5	nan	nan	1	1	5.0	5.0	5.0	1.00375	4.08527960928e-20	1.70905233926e-19	-2.66089268904e-20	0.998444770794	6.60528534542e-20	1.75411920698e-20	-2.54821259503e-20	0.998264755289	237955026.391	6058636.88894	-2437245.01747	6026614.27787	9.45123717927	2201984.14297	-2423926.29447	2201587.66597	22.2558240771	238739949.68008915	6046494.028666275	-2431921.6900051283	6046493.790283764	9.432294790976142	2197174.6623550174	-2431921.9070377243	2197175.193016384	22.20721384763435	239036946.411	0.003742986278834297	0.0	0.0	0.0	-0.0015564398303030782	0.0	0.0	0.0	-0.001736751992023245	0.00359456259366
160	40.0	nan	nan	1	1	5.0	5.0	5.0	1.004	-9.93013781758e-20	1.58939404621e-18	-4.28822837257e-20	0.998329335862	4.7761143871e-18	4.35742203081e-20	7.59930828752e-21	0.998137493377	241013999.996	6138798.31979	-2472918.07208	6104125.82586	17.7084154001	2286916.62168	-2458478.54308	2286477.60385	17.1609499416	241867807.6606151	6125750.206296206	-2467187.6507744864	6125750.0859278	17.670775881446087	2281617.2161393287	-2467187.862137849	2281617.6593263503	17.121183370164136	242170354.901	0.003992021269537457	0.0	0.0	0.0	-0.001672061253622021	0.0	0.0	0.0	-0.0018642432451084058	0.00384171833118
170	42.5	nan	nan	1	1	5.0	5.0	5.0	1.00425	2.43273818152e-20	-2.27578355542e-18	-5.17111313703e-21	0.998213860985	4.89362201056e-18	-5.10866746313e-20	-7.2037505186e-20	0.998010219634	243999216.418	6217490.84601	-2505781.01734	6180119.90378	14.1486996314	2365641.4081	-2490211.86605	2365159.22073	20.706760934	244923156.04691452	6203521.984317634	-2499641.2238555765	6203521.8547139885	14.116911691039306	2359844.9918914707	-2499641.426772421	2359845.4079953977	20.65602416371304	245231005.65	0.004240994257254614	0.0	0.0	0.0	-0.0017877360632741785	0.0	0.0	0.0	-0.0019917626088746263	0.00408885950579
180	45.0	nan	nan	1	1	5.0	5.0	5.0	1.0045	1.34755993591e-20	-1.50033316401e-18	4.23069602226e-20	0.998098359056	9.95195884214e-19	-1.76338362984e-20	1.31124670702e-20	0.99788293584	246918211.359	6294682.39958	-2536077.27147	6254566.46269	16.6033852456	2439502.03507	-2519371.30531	2438975.89447	24.6444188876	247913504.5511317	6279777.917829795	-2529526.3000294436	6279777.755878091	16.564071927364235	2433200.528274168	-2529526.5429282626	2433200.9133985573	24.580759595307217	248226427.434	0.004489905272852001	0.0	0.0	0.0	-0.0019034513586762883	0.0	0.0	0.0	-0.0021193083082251757	0.00433598143192
190	47.5	nan	nan	1	1	5.0	5.0	5.0	1.00475	5.95495594783e-20	-1.66648355698e-18	4.30272729774e-20	0.997982838364	-1.91061598861e-18	-3.50608774437e-20	4.18569933564e-20	0.997755645139	249776789.628	6370149.99625	-2563987.33776	6327245.81771	16.3474932422	2509639.48875	-2546138.92851	2509068.44164	18.9203779925	250844632.53726786	6354296.126202759	-2557023.9049049965	6354295.9875504365	16.306808009726456	2502823.657090923	-2557024.152893217	2502823.9348329683	18.868992878462475	251162416.736	0.00473875434717347	0.0	0.0	0.0	-0.002019198846582317	0.0	0.0	0.0	-0.0022468772000935806	0.0045830804031
200	50.0	nan	nan	1	1	5.0	5.0	5.0	1.005	-2.85939794147e-20	-1.26314491363e-18	7.98605658292e-20	0.997867295029	-3.36708831423e-18	-8.49018180724e-21	-8.08602135995e-20	0.997628361208	252579526.598	6443684.9625	-2589849.62439	6397952.56905	24.8446597845	2575729.05328	-2570853.44619	2575112.50692	12.1880845439	253721090.28581378	6426869.040285254	-2582472.4522243896	6426868.888704074	24.779823302134407	2568392.103482196	-2582472.7289576507	2568392.300723919	12.153366853265345	254043487.672	0.004987541511038968	0.0	0.0	0.0	-0.0021349824249141548	0.0	0.0	0.0	-0.002374455581766175	0.00483015288016
