inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0079776365e-06	2.21062417104e-07	7.13829239192e-08	2.21062417104e-07	5.98696520461e-06	-7.82718875808e-07	7.13829239192e-08	-7.82718875808e-07	6.65167984678e-06	6.0079776365e-06	2.21062417104e-07	7.13829239192e-08	2.21062417104e-07	5.98696520461e-06	-7.82718875808e-07	7.13829239192e-08	-7.82718875808e-07	6.65167984678e-06	1.55825500627e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	3.62582989285e-21	1.54479598309e-20	-1.33739595413e-21	0.999936883275	4.1147479186e-20	-1.36278005918e-22	-1.5692003961e-21	0.999921062998	55372488.4425	-908849.223956	-1038130.24564	-908564.719206	0.156133490496	-359756.524286	-1037788.85092	-359750.83231	-0.234166780905	55380355.1524335	-908693.7980030406	-1037936.2890848393	-908693.7980193754	0.15610678948122012	-359689.3100453591	-1037936.2884669125	-359689.30987650296	-0.23412303092049774	55435376.6002	0.0002499687552074404	0.0	0.0	0.0	-6.311871694500483e-05	0.0	0.0	0.0	-7.89401176895621e-05	0.000214193644791
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-5.82653098785e-21	1.6223281389e-19	-2.33513086924e-21	0.9998737424	-2.54981991036e-19	-3.04609260573e-22	2.47887935006e-21	0.999842096937	110789114.505	-1818504.82173	-2077101.90914	-1817366.53932	-205.714201763	-719521.601986	-2075736.06014	-719498.829145	-226.889443315	110820603.15169492	-1817883.0730235472	-2076326.0291426561	-1817883.07393739	-205.64386786158985	-719252.8321118878	-2076326.0289263893	-719252.8317404457	-226.80469110332376	110930849.934	0.0004998750416509929	0.0	0.0	0.0	-0.0001262655711621337	0.0	0.0	0.0	-0.000157915531001391	0.000428366982969
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	1.57952722906e-21	2.34294876e-19	-2.4425092525e-22	0.999810853709	-3.42338493425e-19	-3.13242958216e-21	-3.55625624852e-21	0.999756798284	163045447.934	-2718262.23169	-3111052.37866	-2715711.31441	-1735.86535215	-1124031.15314	-3107964.83042	-1123970.46568	-5113.77108225	163115963.29219034	-2716885.8141850163	-3109308.952287375	-2716885.8296050197	-1734.9863804933511	-1123401.248748329	-3109308.9909349806	-1123401.332722182	-5110.90533706695	163287685.02	0.0007497188905459742	0.0	0.0	0.0	-0.0001891641814160917	0.0	0.0	0.0	-0.00024323129433354937	0.000644700575663
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	1.79574577884e-20	-8.07105973062e-20	-5.90749129031e-21	0.999741680769	-4.18750931022e-19	-1.1795595535e-21	-7.19574754618e-21	0.99961834396	184478845.471	-3033486.61708	-3750280.33038	-3029673.25602	3381.5066293	-2283536.35971	-3745103.99305	-2283254.56315	2793.37510085	184596964.7643031	-3031613.19440567	-3747501.848379061	-3031613.114560565	3379.4182761959983	-2281844.548934537	-3747501.932151778	-2281844.4692844823	2791.3055642405066	184824847.091	0.0009995003330834232	0.0	0.0	0.0	-0.00025835260115961557	0.0	0.0	0.0	-0.00038172888920253844	0.000882573242429
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	1.50154606929e-20	-3.47960969296e-19	-6.0937361751e-22	0.9996636055	2.24478578914e-18	-8.56131933992e-23	-7.98942734392e-21	0.999463718367	193045581.988	-2844800.82859	-4130252.08338	-2840293.26488	-3263.68676316	-3032651.42104	-4122883.02005	-3032044.96769	-4069.06080045	193214160.5181838	-2842773.7943789414	-4126483.8402060117	-2842773.572685823	-3261.361255990359	-3029884.575872751	-4126483.3591641216	-3029884.514551345	-4065.3483852568597	193483838.475	0.0012492194004318981	0.0	0.0	0.0	-0.0003364510933217405	0.0	0.0	0.0	-0.0005364254834268199	0.00112968710739
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-1.5143919257e-20	3.29510292143e-19	-7.86008990033e-22	0.999582601685	-2.64097035418e-18	2.77601813573e-21	-6.03273160493e-21	0.999306190088	198574976.362	-2506757.30727	-4313367.15195	-2501957.83718	-2087.33691446	-3453256.99329	-4303918.06121	-3452302.02241	-3068.41157499	198795822.34498927	-2504740.6169324187	-4308705.238068557	-2504740.399958416	-2085.657648511724	-3449524.6917849155	-4308704.681520106	-3449524.639808655	-3065.095216791984	199075404.279	0.0014988761237359487	0.0	0.0	0.0	-0.0004174854499241568	0.0	0.0	0.0	-0.0006940507094820772	0.00137903816075
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	2.24560149263e-20	5.29235739381e-19	4.40159606046e-21	0.999500008692	-2.47205180129e-18	-2.21270813858e-21	7.20681108687e-23	0.999147953671	202894731.112	-2146009.08044	-4379989.34753	-2141188.77813	-4035.1127817	-3723042.89355	-4368611.95175	-3721731.42735	-5843.51934691	203169337.14917073	-2144086.98666691	-4374524.980923292	-2144086.7506991946	-4031.498693939546	-3718398.1171250693	-4374524.61005035	-3718398.0226282654	-5836.229116397702	203451381.376	0.001748470534116803	0.0	0.0	0.0	-0.0005001163453344312	0.0	0.0	0.0	-0.0008524095267960913	0.00162923503055
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-1.29953176159e-20	7.01499203872e-19	9.73074593092e-22	0.9994163116	1.01289672214e-18	-4.40597753276e-21	4.8365250416e-21	0.998989750792	206607955.976	-1819084.4789	-4392855.14716	-1814393.3151	1460.63831575	-3900164.77423	-4379659.06794	-3898500.19493	1202.135171	206937679.70109227	-1817289.487021457	-4386647.408420758	-1817288.8886020523	1459.1970226464205	-3894653.2781420704	-4386648.525319285	-3894653.327855069	1200.4363803909703	207209540.171	0.001998002662673058	0.0	0.0	0.0	-0.0005838588123889789	0.0	0.0	0.0	-0.0010107598536796664	0.00187976978823
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	2.14858096159e-20	6.02017913913e-19	5.89521282809e-22	0.999331700669	-8.84845027415e-19	5.02181349881e-21	-8.29000409901e-21	0.998831789789	209943768.313	-1543044.39866	-4383196.61682	-1538551.27467	851.81434827	-4020995.57231	-4368247.84941	-4018984.64385	-282.868572094	210329876.93145117	-1541380.9999116387	-4376281.230368285	-1541380.8318978834	850.8960941212707	-4014651.6318633286	-4376281.515547085	-4014652.1865130183	-282.42228924107746	210597893.948	0.00224747254047937	0.0	0.0	0.0	-0.0006685227425408523	0.0	0.0	0.0	-0.001168893100439514	0.00213046438225
