inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-1.97101630335e-23	-4.37410522979e-22	4.20052654812e-23	0.999909686633	-1.46241331773e-22	-5.51884564938e-24	-3.67376436312e-23	0.999909610461	36455101.6626	-1432.67836678	871.621045886	-1432.19092655	4.37129964337	1001.00495924	871.32443045	1001.00487915	2.32619029044	36461690.09830768	-1432.4497651822383	871.4819015520369	-1432.4497626911807	4.370602148310439	1000.8451602436304	871.4819026480939	1000.8451564096787	2.3258189407575176	36461686.907	0.0002499687552074404	0.0	0.0	0.0	-9.031744549796526e-05	0.0	0.0	0.0	-9.039362438098989e-05	0.000226882864361
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	1.11669382695e-23	-2.99672026291e-22	-1.73190940753e-23	0.999819340966	2.78456136049e-22	9.48672765022e-23	1.83449919054e-23	0.999819188679	72938571.8006	-2865.33972397	1746.01820677	-2863.39038692	12.1433028527	2003.93237013	1744.83007102	2003.93206486	11.9678020937	72964944.0814253	-2864.425690677995	1745.460967245251	-2864.425698327011	12.139429181808758	2003.2928176229123	1745.4609463921026	2003.2928175809166	11.963982584644981	72964932.3435	0.0004998750416509929	0.0	0.0	0.0	-0.00018067535480897716	0.0	0.0	0.0	-0.00018082766933780298	0.000453751044338
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	3.77452853266e-22	-1.19707251803e-21	-1.10428611776e-22	0.999728963809	8.29894798938e-23	-2.25006051311e-22	-7.5583628472e-23	0.999728732407	109448764.528	-4144.6625321	2721.45732299	-4140.43735598	72.6623796749	2989.8433471	2718.6709363	2989.84538781	121.957527052	109508143.15700895	-4142.680139696445	2720.1550201258315	-4142.683644412362	72.62762525318867	2988.4126130879504	2720.1458817104863	2988.415344534173	121.89916654219337	109508046.352	0.0007497188905459742	0.0	0.0	0.0	-0.00027107292794703396	0.0	0.0	0.0	-0.0002713043927091482	0.000680605047036
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.40103716251e-22	-4.90156211726e-22	2.7545114398e-22	0.999638272519	-8.76746825821e-23	1.99996762479e-22	1.71892008698e-22	0.999637887464	145490458.208	-5955.4959	5721.53474087	-5947.38658444	-1036.34724959	9858.79699569	5713.75209529	9858.79841466	-969.250919372	145595827.22302917	-5951.701539384297	5717.887238895621	-5951.693879049686	-1035.686972888603	9852.511971979506	5717.89018405415	9852.517185178714	-968.6330179168494	145596831.085	0.0009995003330834232	0.0	0.0	0.0	-0.0003617929201663237	0.0	0.0	0.0	-0.000362178114576106	0.000907657260881
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-2.18685874444e-22	-2.33420029105e-22	2.09069899823e-22	0.999541666824	1.88914222481e-20	-2.05399285855e-22	1.98911087925e-22	0.99954207223	175242192.452	-15343.2960443	39722.9547816	-15317.0991773	5115.23326307	34104.6118764	39655.2783674	34104.623645	5205.5444468	175402870.437832	-15331.161432781155	39691.55503423202	-15331.143287397925	5111.187758877393	34077.653252529	39691.637934502694	34077.65119020713	5201.429627511229	175397739.544	0.0012492194004318981	0.0	0.0	0.0	-0.00045843824275480495	0.0	0.0	0.0	-0.00045803265094106503	0.00113830325561
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	1.38656150179e-21	1.28522670688e-20	-5.54211010411e-22	0.999425856494	2.06501504021e-20	-3.95495730377e-23	-1.18095542078e-21	0.999426849365	184769634.056	53982.4095225	31061.7800554	53870.5605609	-4466.93521518	63961.7660627	30997.5765684	63961.8326804	-4110.31398153	184981801.72121263	53932.46861535392	31033.074607902872	53932.419161834594	-4462.802706113026	63902.65640722431	31033.170531019277	63902.659479814116	-4106.515474104377	184986150.888	0.0014988761237359487	0.0	0.0	0.0	-0.0005743083894967786	0.0	0.0	0.0	-0.0005733149486124647	0.0013817919809
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-2.51421547185e-21	1.67979702894e-21	1.50546871485e-22	0.999304514366	-4.23224892461e-20	-1.67607471619e-22	2.42146784567e-21	0.999305356607	188149533.802	29101.0967594	31270.6459548	29029.9651164	-6284.16803472	65693.3222645	31194.3353608	65693.3888465	-7677.41090605	188411358.8767315	29070.452404182728	31237.743325155214	29070.362626999482	-6277.550611359873	65624.20047354857	31237.74476512856	65624.21167562282	-7669.33281875888	188418381.103	0.001748470534116803	0.0	0.0	0.0	-0.0006957275963278402	0.0	0.0	0.0	-0.0006948847695083287	0.00162918455069
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	1.42026911175e-21	1.14728916985e-20	-6.19971869108e-22	0.999182857756	-8.49850531216e-20	9.68163208205e-22	-3.61477927686e-22	0.999182834565	190825035.511	-3073.05348293	41663.4514695	-3064.57950296	-969.775421251	61713.0678798	41546.4675144	61713.1438161	-831.39682414	191137285.01355425	-3069.4278740065783	41614.29568668445	-3069.594114500748	-968.6312737636448	61640.25696148706	41614.45054282977	61640.3342388652	-830.4159173672886	191138228.019	0.001998002662673058	0.0	0.0	0.0	-0.000817476286709892	0.0	0.0	0.0	-0.0008174994966757919	0.00187699370296
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	-2.01914787524e-21	-5.86912561952e-20	1.1795595535e-21	0.999061290312	-6.80070676514e-20	3.92910790963e-23	-1.70192411033e-22	0.999059824789	193273415.799	-23542.765424	46294.7256085	-23468.0696467	-403.153045496	57987.8453739	46147.4988212	57987.8028442	-273.138261514	193637066.6647441	-23512.018536469728	46234.19680524521	-23512.22566168574	-402.626527004051	57912.028208171694	46234.3269958296	57912.07068529394	-272.78114238487177	193637451.19	0.00224747254047937	0.0	0.0	0.0	-0.0009391505518562419	0.0	0.0	0.0	-0.0009406174529251085	0.00212490453069
