inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.05952938377e-06	2.53963650351e-07	8.14391762779e-08	2.53963650351e-07	5.98199513678e-06	-8.07677955315e-07	8.14391762779e-08	-8.07677955315e-07	6.66176382449e-06	6.05952938377e-06	2.53963650351e-07	8.14391762779e-08	2.53963650351e-07	5.98199513678e-06	-8.07677955315e-07	8.14391762779e-08	-8.07677955315e-07	6.66176382449e-06	1.60804612459e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	-3.89922601e-21	6.59589943041e-20	3.44830917858e-23	0.999937135346	-2.27982712445e-19	-5.91537535552e-22	-6.86715004784e-22	0.999920539862	54505551.0804	-927307.685452	-1009182.4885	-927017.635876	17.4254830242	-347129.350085	-1008850.08537	-347123.588853	15.2532881394	54513309.40351534	-927149.5879070833	-1008993.6859749728	-927149.5876168812	17.42251213748326	-347064.40752153506	-1008993.6851462079	-347064.407431298	15.250434483744556	54568246.3157	0.0002499687552074404	0.0	0.0	0.0	-6.286663006469512e-05	0.0	0.0	0.0	-7.946329512376418e-05	0.000214303472961
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	1.29205870175e-20	1.20190066787e-19	2.68009103407e-21	0.999874246684	5.22045265111e-19	-1.39379933215e-21	-2.32579923795e-21	0.999841050609	109054461.279	-1855431.48323	-2019194.45688	-1854271.02137	-193.962707341	-694251.052899	-2017864.57531	-694228.003959	-212.240353637	109085516.0402648	-1854799.0502939145	-2018439.18961914	-1854799.050606159	-193.89659419933847	-693991.3725649511	-2018439.1900659304	-693991.3729333734	-212.16096643880854	109195613.949	0.0004998750416509929	0.0	0.0	0.0	-0.00012576122361114298	0.0	0.0	0.0	-0.00015896202479325267	0.000428586646168
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	-1.7858829425e-21	-2.02273163525e-19	4.0302824383e-21	0.999811592493	6.51629156825e-19	3.35845668454e-21	1.44695602627e-20	0.999756199532	161054907.067	-2767397.71203	-3042013.12794	-2764802.8177	-2728.91864197	-1086361.46064	-3038992.28518	-1086301.33978	-5412.51602396	161124538.9766454	-2765998.070864734	-3040306.144445234	-2765998.1771180728	-2727.5384620083855	-1085751.863966787	-3040306.1901088743	-1085751.931190685	-5409.478865627842	161296767.943	0.0007497188905459742	0.0	0.0	0.0	-0.00018842525792420805	0.0	0.0	0.0	-0.00024383019216536197	0.000644691817814
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-1.06723876607e-20	-2.80026279948e-19	-3.02034660916e-21	0.999743334004	-1.07418620434e-18	2.0096352982e-21	-1.89872588769e-20	0.999616986197	182490387.906	-3043611.66507	-3698715.45144	-3039790.49641	4366.93328132	-2220185.62133	-3693605.38167	-2219904.98573	4623.68615151	182607180.07875422	-3041736.120895411	-3695969.060589113	-3041735.934418364	4364.2422756406	-2218537.0767047796	-3695969.255202036	-2218537.028736041	4620.252946249797	182831190.888	0.0009995003330834232	0.0	0.0	0.0	-0.0002566989403542738	0.0	0.0	0.0	-0.0003830871715217783	0.000882617169742
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	-2.19790160561e-20	4.85207603711e-20	-3.07000329531e-21	0.999666797522	-1.25304214322e-18	-4.71079358849e-21	4.55052734481e-21	0.999460215292	190769650.817	-2875975.05247	-4067983.60479	-2871427.43018	-4360.27045421	-3018923.23984	-4060711.42037	-3018299.33146	-5479.94565111	190936301.42013663	-2873935.878394236	-4064259.1948079783	-2873935.8224271596	-4357.178859077449	-3016159.2887178324	-4064258.7351785684	-3016159.2441375027	-5474.9285305247795	191207147.633	0.0012492194004318981	0.0	0.0	0.0	-0.0003332580022794059	0.0	0.0	0.0	-0.0005399304442117315	0.00113019225453
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	1.43060886941e-21	-3.92050109535e-19	4.81049793287e-21	0.999587378178	1.03779982166e-18	1.85660688488e-21	-2.73796782755e-21	0.999300582727	196053307.923	-2583406.92072	-4217628.87209	-2578473.18281	-1567.5855402	-3482044.3303	-4208365.73058	-3481045.29904	-2215.49490265	196271512.87560868	-2581343.050215411	-4213050.3007249115	-2581342.99217266	-1566.3332041727635	-3478264.294420556	-4213049.590569559	-3478264.3098508003	-2213.0898068418082	196552239.611	0.0014988761237359487	0.0	0.0	0.0	-0.0004127069738084338	0.0	0.0	0.0	-0.0006996619793686038	0.0013800211677
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	1.02551784393e-20	4.25259549973e-19	5.59184433844e-21	0.999506374755	1.35419806033e-18	-2.4120586662e-21	-2.55691867098e-21	0.999140240243	200128597.274	-2253647.47084	-4228743.73712	-2248599.86781	-2562.17129877	-3793201.09527	-4217726.41205	-3791811.52896	-4154.17758857	200399730.2138069	-2251646.352425178	-4223441.160661577	-2251646.256486647	-2559.896227697782	-3788444.66166224	-4223440.56073728	-3788444.6031322847	-4148.968513332856	200681776.37	0.001748470534116803	0.0	0.0	0.0	-0.0004937471180492724	0.0	0.0	0.0	-0.0008601295623974157	0.00163071699014
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-9.49231111935e-21	-5.73017375227e-19	2.99558288957e-21	0.999424350775	7.86459751768e-19	-5.2716220438e-21	-5.94598103818e-21	0.998979864575	203608776.856	-1944418.00108	-4175861.03002	-1939420.00786	479.959859317	-4008178.42101	-4163274.46656	-4006396.13309	-231.439510557	203934091.99132124	-1942518.5592215308	-4169926.3929602867	-1942518.708672627	479.49100136224365	-4002482.0905937664	-4169926.322228414	-4002482.408514022	-231.11059408047944	204207266.789	0.001998002662673058	0.0	0.0	0.0	-0.0005758149746265781	0.0	0.0	0.0	-0.0010206561172899037	0.00188176759116
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	1.24229086321e-20	-1.24645819913e-18	7.5746996643e-21	0.999341528183	1.00851431926e-18	-7.24279344351e-21	1.81039850791e-20	0.998819670684	206729472.176	-1682820.74138	-4102689.24934	-1677937.39354	1368.18763992	-4155869.75095	-4088647.31618	-4153700.02543	498.166482836	207110145.5775241	-1681027.0603869138	-4096176.1383105707	-1681027.1616723328	1366.729319313199	-4149272.214683723	-4096176.1859879657	-4149272.6894675936	497.37563239214217	207375720.004	0.00224747254047937	0.0	0.0	0.0	-0.0006586887047819627	0.0	0.0	0.0	-0.001181026453269006	0.00213297993203
100	25.0	nan	nan	1	1	5.0	5.0	5.0	1.0025	1.61935080568e-20	-3.3854062289e-19	-3.94389376308e-21	0.999258033889	-2.90467904898e-18	-3.59492694216e-21	-5.3011937507e-20	0.998659770622	209612043.777	-1470578.79061	-4027227.82589	-1465823.17304	120.898706533	-4259497.82814	-4011800.39379	-4256947.11633	-768.301510696	210049198.39644232	-1468880.1481577458	-4020167.6919186134	-1468880.208121733	120.75905833690696	-4252030.501577502	-4020167.170063083	-4252029.983609896	-766.9546011516575	210309293.255	0.002496880198587146	0.0	0.0	0.0	-0.0007422415040848894	0.0	0.0	0.0	-0.0013411282886469445	0.00238424849253
110	27.5	nan	nan	1	1	5.0	5.0	5.0	1.00275	2.46311638951e-20	1.61543410548e-18	1.12186370578e-21	0.999174001643	-5.15037804552e-19	-2.65111386323e-21	5.53321791252e-20	0.998500165156	212319708.485	-1301467.47066	-3957515.30962	-1296826.38558	261.829105116	-4334546.03124	-3940741.95661	-4331623.0684	-708.733094143	212814415.67111462	-1299847.807504797	-3949924.6203965596	-1299848.004894887	261.50326143256297	-4326232.180433697	-3949923.927414637	-4326232.407131641	-707.3737127536397	213068284.319	0.0027462256680252286	0.0	0.0	0.0	-0.0008263396816113517	0.0	0.0	0.0	-0.0015009607221741796	0.00263552351784
120	30.0	nan	nan	1	1	5.0	5.0	5.0	1.003	2.91775553369e-20	-7.37773141684e-19	1.5979061483e-21	0.999089505363	-5.9891069266e-18	-1.64683388153e-20	7.8859677288e-20	0.998340876683	214903503.35	-1170066.77897	-3898215.2329	-1165504.96787	218.049016632	-4392203.8649	-3880106.67369	-4388913.04695	-584.292157494	215456819.58792305	-1168505.772910675	-3890097.479093518	-1168505.8162230963	217.75811371750032	-4383057.415175465	-3890096.8599548084	-4383057.723148593	-583.0754109568765	215705466.282	0.002995508979798371	0.0	0.0	0.0	-0.0009109093890140957	0.0	0.0	0.0	-0.0016605011863381933	0.00288676762726
130	32.5	nan	nan	1	1	5.0	5.0	5.0	1.00325	-1.71604821929e-20	1.24746322358e-18	3.04050913659e-21	0.999004631958	5.69708404623e-18	-1.30810342069e-20	4.16452351196e-20	0.998181865184	217387183.065	-1067817.25404	-3848422.10332	-1063298.75522	155.787705972	-4439811.57943	-3828980.47034	-4436155.30528	-463.40680841	218000132.54321724	-1066296.7615129931	-3839777.240314934	-1066296.8547767997	155.5658758396803	-4429838.25482006	-3839776.7442891276	-4429838.549332482	-462.3658393409203	218244444.844	0.0032447301648890294	0.0	0.0	0.0	-0.000995863749737199	0.0	0.0	0.0	-0.0018197896291904363	0.00313797002139
140	35.0	nan	nan	1	1	5.0	5.0	5.0	1.0035	2.83514087001e-20	6.44893166603e-19	-1.04266116212e-21	0.998919474483	7.11632579966e-19	-2.2572931736e-20	7.41673918658e-20	0.998023074277	219789532.065	-988535.953746	-3806088.82689	-984023.853659	136.879346989	-4481796.30631	-3785315.35448	-4477774.69992	-401.487740435	220463116.35810027	-987039.4489138417	-3796916.643286108	-987039.5705843389	136.67213084939615	-4470995.754755267	-3796916.129745562	-4470995.976849429	-400.5202067179822	220703841.649	0.003493889254255838	0.0	0.0	0.0	-0.0010811097055550044	0.0	0.0	0.0	-0.0019788824199122967	0.00338912775165
150	37.5	nan	nan	1	1	5.0	5.0	5.0	1.00375	3.1168165481e-21	-2.04759461651e-19	1.92939877878e-21	0.998834078591	5.12918567822e-18	-2.16555884366e-21	-2.11315695186e-20	0.997864485726	222124519.352	-926432.740593	-3770031.90939	-921895.653565	126.134306291	-4521264.54048	-3747925.8112	-4516875.84103	-352.815143721	222859721.5034222	-924946.8342711377	-3760331.3585718833	-924947.0036359648	125.93199936149423	-4509631.016549383	-3760330.9393137423	-4509631.219728125	-351.9073261445644	223097519.035	0.003742986278834297	0.0	0.0	0.0	-0.001166601624135381	0.0	0.0	0.0	-0.002137797736096626	0.00364023490985
160	40.0	nan	nan	1	1	5.0	5.0	5.0	1.004	-6.06406107063e-20	-2.05173051957e-19	1.23919927567e-20	0.998748475709	1.20095375286e-18	-7.67623608449e-21	1.76758157145e-20	0.997706087603	224402110.17	-877748.093901	-3739634.68673	-873157.078309	105.116445145	-4559100.37406	-3716191.1837	-4554342.27446	-299.079147596	225199895.61858773	-876261.1558712914	-3729403.1824287223	-876261.2915932628	104.93837396384365	-4546626.84148403	-3729402.8386540464	-4546627.0486734	-298.26087794096946	225435314.036	0.003992021269537457	0.0	0.0	0.0	-0.001252308101565435	0.0	0.0	0.0	-0.0022965474445255487	0.00389128721432
170	42.5	nan	nan	1	1	5.0	5.0	5.0	1.00425	4.17647627181e-20	1.72131570543e-18	1.87935435172e-21	0.998662700891	-8.78408817787e-18	-7.20474313534e-22	-1.82592882391e-20	0.997547858413	226629276.063	-839961.508554	-3714178.79946	-835288.362648	90.4938642116	-4595781.62226	-3689390.91506	-4590651.39769	-257.189432949	227490592.1731509	-838462.8092638531	-3703412.9137921133	-838462.9186271237	90.33240075328493	-4582460.330482926	-3703412.6332024615	-4582460.539036402	-256.4439459437646	227724085.256	0.004240994257254614	0.0	0.0	0.0	-0.0013381940914486488	0.0	0.0	0.0	-0.002455153010145736	0.00414228407425
