inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(Cauchy)	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))
0	0.0	nan	nan	1	1	5.0	5.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	2.5	nan	nan	1	1	5.0	5.0	5.0	1.00025	2.11062322656e-23	-2.25402677953e-22	-2.58687811879e-23	0.999910032779	-6.19545354105e-23	5.26035170795e-24	6.36218213327e-23	0.999909947215	37302266.7715	-1570.93055066	616.047295219	-1570.39667492	30.5926148173	-257.995629463	615.837906877	-257.995623739	20.8619001277	37308982.8325435	-1570.6793602316857	615.9487370846819	-1570.679415912548	30.587723084806804	-257.9543541127153	615.9487849906766	-257.9543704632247	20.858562543117007	37308957.2265	0.0002499687552074404	0.0	0.0	0.0	-8.997126829358701e-05	0.0	0.0	0.0	-9.005683999611462e-05	0.000226655211619
20	5.0	nan	nan	1	1	5.0	5.0	5.0	1.0005	-7.01395037276e-23	2.50501631871e-22	5.15178425256e-23	0.999820032917	-4.48616235339e-23	2.46603220117e-23	1.46566064787e-23	0.999819861945	74633767.4706	-3128.55527037	1224.9368953	-3126.42908903	15.5601059264	-515.533239609	1224.10424018	-515.533158869	15.2246547045	74660650.73411809	-3127.5551661873005	1224.545110745116	-3127.5552363480233	15.555131832712853	-515.3683511469225	1224.5451654873727	-515.3683585621657	15.219785241763145	74660635.5786	0.0004998750416509929	0.0	0.0	0.0	-0.00017998327901851003	0.0	0.0	0.0	-0.00018015428180789258	0.000453295892128
30	7.5	nan	nan	1	1	5.0	5.0	5.0	1.00075	1.31052389334e-22	-6.95568422278e-22	-4.15270516896e-23	0.999729999715	1.22293483687e-22	1.50650269061e-22	-2.39261992181e-22	0.999729741351	111989294.783	-4291.15755963	1841.52413976	-4286.79540823	131.847686639	-145.077559866	1839.65652212	-145.081338168	142.155021818	112049822.52440621	-4289.100770006957	1840.6410053322202	-4289.112326507175	131.7844908812276	-145.00798543846486	1840.6508158555118	-145.0117994044625	142.0868489436191	112049685.881	0.0007497188905459742	0.0	0.0	0.0	-0.00027003674163909364	0.0	0.0	0.0	-0.0002702951754498753	0.000679923249098
40	10.0	nan	nan	1	1	5.0	5.0	5.0	1.001	-8.00138915106e-22	-8.27374483009e-23	-7.65917548436e-23	0.999639364473	-2.80362528867e-22	-2.25949554198e-22	2.01780370675e-22	0.999639086663	148566828.47	-215.621133684	1901.80026628	-215.274735456	-850.07124555	26541.1157627	1899.19910606	26541.1215541	-881.112668718	148674084.73580036	-215.4834988246732	1900.5857846701495	-215.43015079658412	-849.5286297391096	26524.166718381184	1900.5702129633723	26524.179877423598	-880.5499938928158	148674956.91	0.0009995003330834232	0.0	0.0	0.0	-0.0003607005716304598	0.0	0.0	0.0	-0.0003609784818930484	0.000906893254091
50	12.5	nan	nan	1	1	5.0	5.0	5.0	1.00125	6.50215660255e-22	8.9901543264e-21	8.68798137122e-23	0.999541088297	-9.25765031933e-21	3.72567317773e-22	-2.94114406551e-22	0.999541890843	176947188.328	16997.6987754	26266.2656008	16968.8627009	5614.37830166	43542.9733131	26221.3599301	43543.0254143	5546.95444998	177109564.25889438	16984.258822169195	26245.518134024755	16984.434210700823	5609.93905474832	43508.579143565614	26245.422011945993	43508.59626993001	5542.572964811767	177104012.313	0.0012492194004318981	0.0	0.0	0.0	-0.00045901703520253694	0.0	0.0	0.0	-0.0004582141210574825	0.00113855674674
60	15.0	nan	nan	1	1	5.0	5.0	5.0	1.0015	-1.22650205326e-21	-2.11303287477e-21	6.8381987264e-22	0.999424002817	1.58221039618e-20	1.77068349875e-22	-4.95687982072e-22	0.99942668903	185885984.27	-41301.9076612	-2019.14440984	-41216.2344674	-3820.91522767	-56214.4983918	-2014.94527614	-56214.6794742	-3481.10618462	186099808.84267154	-41263.704524281886	-2017.282178347801	-41263.64548527061	-3817.380985407086	-56162.652467004715	-2017.2630668777963	-56162.68243051918	-3477.89560417162	186103495.661	0.0014988761237359487	0.0	0.0	0.0	-0.0005761631331048325	0.0	0.0	0.0	-0.0005734753755739731	0.0013824644563
70	17.5	nan	nan	1	1	5.0	5.0	5.0	1.00175	-1.05258732947e-21	3.11052997544e-20	7.00596129438e-22	0.999301738337	-5.25236941504e-20	-4.07644945624e-22	4.20828136636e-22	0.999306437015	189491348.404	-42659.0611831	-54104.2377141	-42554.7857797	-8663.33284696	-69159.18547	-53972.2846468	-69159.5235957	-9102.84902973	189755362.6985649	-42614.09379927644	-54047.45997215107	-42614.07646416984	-8654.200732878811	-69086.60885582119	-54047.48309135746	-69086.62178407235	-9093.2963729503	189764311.62	0.001748470534116803	0.0	0.0	0.0	-0.0006985055612179331	0.0	0.0	0.0	-0.0006938036110733013	0.00162975234109
80	20.0	nan	nan	1	1	5.0	5.0	5.0	1.002	-2.0987640092e-21	-4.57416403081e-20	-1.26261365688e-21	0.999178684513	-1.79295533674e-20	1.53855593935e-22	2.31031545086e-21	0.999185639571	192380543.549	-35668.2684491	-78786.5884245	-35567.9059455	245.210089747	-78474.6852558	-78565.3864334	-78475.1422452	203.110160639	192695602.2208286	-35626.086775809345	-78693.96233496918	-35626.15496070802	244.92010168918216	-78382.42585775063	-78694.05176433614	-78382.33670807815	202.87137253686004	192695484.237	0.001998002662673058	0.0	0.0	0.0	-0.0008216529513541969	0.0	0.0	0.0	-0.0008146922005876739	0.00187745446032
90	22.5	nan	nan	1	1	5.0	5.0	5.0	1.00225	2.38889760905e-21	3.88793499464e-20	-4.88243356559e-22	0.999055265315	3.24296159151e-20	-1.28393940705e-21	-2.51380188155e-21	0.999064750791	195023969.495	-30084.1988436	-92398.2424	-29988.3906112	103.856843655	-84525.4359529	-92104.750343	-84526.1337994	23.4042995448	195391129.03035915	-30044.760694223878	-92277.99128962461	-30044.84789484307	103.72069504971083	-84415.43085686909	-92278.15024572925	-84415.32631842647	23.373840166626586	195391192.489	0.00224747254047937	0.0	0.0	0.0	-0.0009451812280776114	0.0	0.0	0.0	-0.000935686827417385	0.00212527811466
